Acurx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Acurx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Acurx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Acurx Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.42,,0.0
2024-09-30,1.9,$-0.84,0.0
2024-06-30,2.25,$-0.86,0.0
2024-03-31,2.45,$-0.81,0.0
2023-12-31,3.83,$-0.77,0.0
2023-09-30,1.5,$-0.59,0.0
2023-06-30,2.65,$-0.61,0.0
2023-03-31,3.46,$-0.68,0.0
2022-12-31,3.98,$-0.70,0.0
2022-09-30,3.0,$-0.78,0.0
2022-06-30,3.79,$-0.84,0.0
2022-03-31,3.28,$-0.77,0.0
