Icahn Enterprises Price to Free Cash Flow Ratio Historical Data,Icahn Enterprises Price to Free Cash Flow Ratio Historical Data,Icahn Enterprises Price to Free Cash Flow Ratio Historical Data,Icahn Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.67,,9.03
2024-12-31,8.67,$1.07,8.1
2024-09-30,12.98,$1.03,12.66
2024-06-30,14.9,$4.93,3.02
2024-03-31,14.52,$7.51,1.93
2023-12-31,13.91,$8.84,1.57
2023-09-30,15.12,$1.26,12.04
2023-06-30,21.24,$-0.93,0.0
2023-03-31,35.62,$-3.62,0.0
2022-12-31,33.56,$2.01,16.73
2022-09-30,31.7,$10.00,3.17
2022-06-30,29.57,$9.87,3.0
2022-03-31,30.72,$8.67,3.54
2021-12-31,28.26,$0.04,668.03
2021-09-30,27.46,$-6.01,0.0
2021-06-30,29.16,$1.02,28.59
2021-03-31,27.51,$0.72,38.4
2020-12-31,25.04,$-3.50,0.0
2020-09-30,23.44,$5.96,3.93
2020-06-30,22.21,$-2.65,0.0
2020-03-31,21.31,$-11.03,0.0
2019-12-31,25.91,$-6.22,0.0
2019-09-30,26.24,$11.21,2.34
2019-06-30,28.78,$15.64,1.84
2019-03-31,28.05,$24.20,1.16
2018-12-31,21.47,$22.29,0.96
2018-09-30,25.95,$1.68,15.46
2018-06-30,25.49,$-1.87,0.0
2018-03-31,19.96,$2.07,9.65
2017-12-31,18.02,$1.88,9.6
2017-09-30,18.16,$2.56,7.09
2017-06-30,16.64,$2.88,5.77
2017-03-31,16.02,$-0.18,0.0
2016-12-31,18.22,$6.84,2.67
2016-09-30,14.92,$5.58,2.67
2016-06-30,15.52,$4.92,3.16
2016-03-31,17.64,$2.82,6.26
2015-12-31,16.76,$-4.04,0.0
2015-09-30,17.95,$-6.15,0.0
2015-06-30,22.77,$-7.70,0.0
2015-03-31,23.16,$-9.65,0.0
2014-12-31,23.5,$-15.13,0.0
2014-09-30,26.9,$-13.98,0.0
2014-06-30,24.99,$-15.94,0.0
2014-03-31,25.37,$-11.36,0.0
2013-12-31,26.66,$-4.00,0.0
2013-09-30,20.07,$-4.11,0.0
2013-06-30,17.26,$-2.70,0.0
2013-03-31,12.77,$5.80,2.2
2012-12-31,10.33,$6.58,1.57
2012-09-30,9.37,$7.22,1.3
2012-06-30,9.13,$13.74,0.66
2012-03-31,9.79,$22.01,0.44
2011-12-31,8.08,$17.08,0.47
2011-09-30,8.15,$17.86,0.46
2011-06-30,9.65,$15.75,0.61
2011-03-31,8.86,$-3.73,0.0
2010-12-31,7.77,$-4.38,0.0
2010-09-30,8.03,$-4.89,0.0
2010-06-30,8.03,$-1.79,0.0
2010-03-31,10.24,$-0.03,0.0
2009-12-31,8.57,$1.65,5.2
