North European Oil Royality Trust Price to Free Cash Flow Ratio Historical Data,North European Oil Royality Trust Price to Free Cash Flow Ratio Historical Data,North European Oil Royality Trust Price to Free Cash Flow Ratio Historical Data,North European Oil Royality Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.96,,inf
2025-01-31,4.52,0.0,0.0
2024-10-31,5.11,0.0,0.0
2024-07-31,6.35,0.0,0.0
2024-04-30,6.74,0.0,0.0
2024-01-31,4.68,0.0,0.0
2023-10-31,10.11,0.0,0.0
2023-07-31,13.83,0.0,0.0
2023-04-30,11.62,0.0,0.0
2023-01-31,12.02,0.0,0.0
2022-10-31,11.72,0.0,0.0
2022-07-31,12.47,0.0,0.0
2022-04-30,14.34,0.0,0.0
2022-01-31,8.01,0.0,0.0
2021-10-31,7.22,0.0,0.0
2021-07-31,5.1,0.0,0.0
2021-04-30,3.58,0.0,0.0
2021-01-31,2.66,0.0,0.0
2020-10-31,2.03,0.0,0.0
2020-07-31,1.89,0.0,0.0
2020-04-30,2.09,0.0,0.0
2020-01-31,3.31,0.0,0.0
2019-10-31,3.58,0.0,0.0
2019-07-31,4.08,0.0,0.0
2019-04-30,3.91,0.0,0.0
2019-01-31,3.4,0.0,0.0
2018-10-31,3.76,0.0,0.0
2018-07-31,4.09,0.0,0.0
2018-04-30,4.36,0.0,0.0
2018-01-31,4.19,0.0,0.0
2017-10-31,3.16,0.0,0.0
2017-07-31,2.83,0.0,0.0
2017-04-30,3.19,0.0,0.0
2017-01-31,3.03,0.0,0.0
2016-10-31,3.35,0.0,0.0
2016-07-31,4.1,0.0,0.0
2016-04-30,3.87,0.0,0.0
2016-01-31,3.37,0.0,0.0
2015-10-31,3.91,0.0,0.0
2015-07-31,3.84,0.0,0.0
2015-04-30,5.25,0.0,0.0
2015-01-31,4.83,0.0,0.0
2014-10-31,6.5,0.0,0.0
2014-07-31,8.09,0.0,0.0
2014-04-30,8.18,0.0,0.0
2014-01-31,7.13,0.0,0.0
2013-10-31,7.41,0.0,0.0
2013-07-31,8.25,0.0,0.0
2013-04-30,7.68,0.0,0.0
2013-01-31,7.78,0.0,0.0
2012-10-31,8.4,0.0,0.0
2012-07-31,9.08,0.0,0.0
2012-04-30,9.47,0.0,0.0
2012-01-31,9.04,0.0,0.0
2011-10-31,9.1,0.0,0.0
2011-07-31,8.69,0.0,0.0
2011-04-30,8.28,0.0,0.0
2011-01-31,7.8,0.0,0.0
2010-10-31,7.23,0.0,0.0
2010-07-31,6.62,0.0,0.0
2010-04-30,7.25,0.0,0.0
2010-01-31,7.37,0.0,0.0
2009-10-31,7.44,0.0,0.0
