OneMedNet Price to Free Cash Flow Ratio Historical Data,OneMedNet Price to Free Cash Flow Ratio Historical Data,OneMedNet Price to Free Cash Flow Ratio Historical Data,OneMedNet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.58,,0.0
2024-09-30,0.61,$-0.14,0.0
2024-06-30,0.98,$-0.32,0.0
2024-03-31,0.71,$-0.50,0.0
2023-12-31,0.81,$-0.68,0.0
2023-09-30,11.26,$-1.69,0.0
2023-06-30,10.89,$-1.56,0.0
2023-03-31,10.69,$-1.36,0.0
2022-12-31,10.44,$-1.20,0.0
2022-09-30,10.36,$-0.14,0.0
2022-06-30,10.25,$-0.13,0.0
2022-03-31,10.18,$-0.09,0.0
