Olo Price to Free Cash Flow Ratio Historical Data,Olo Price to Free Cash Flow Ratio Historical Data,Olo Price to Free Cash Flow Ratio Historical Data,Olo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.35,,38.25
2024-12-31,7.68,$0.17,46.27
2024-09-30,4.96,$0.14,35.45
2024-06-30,4.42,$-0.03,0.0
2024-03-31,5.49,$-0.13,0.0
2023-12-31,5.72,$-0.12,0.0
2023-09-30,6.06,$-0.15,0.0
2023-06-30,6.46,$0.01,592.66
2023-03-31,8.16,$0.00,0.0
2022-12-31,6.25,$-0.04,0.0
2022-09-30,7.9,$-0.08,0.0
2022-06-30,9.87,$-0.02,0.0
2022-03-31,13.25,$-0.00,0.0
2021-12-31,20.81,$0.12,178.78
