Generation Bio Price to Free Cash Flow Ratio Historical Data,Generation Bio Price to Free Cash Flow Ratio Historical Data,Generation Bio Price to Free Cash Flow Ratio Historical Data,Generation Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.52,,0.0
2024-12-31,1.06,$-1.36,0.0
2024-09-30,2.47,$-1.59,0.0
2024-06-30,2.82,$-1.68,0.0
2024-03-31,4.07,$-0.97,0.0
2023-12-31,1.65,$-0.93,0.0
2023-09-30,3.79,$-0.89,0.0
2023-06-30,5.5,$-0.83,0.0
2023-03-31,4.3,$-1.72,0.0
2022-12-31,3.93,$-1.91,0.0
2022-09-30,5.31,$-1.92,0.0
2022-06-30,6.56,$-2.00,0.0
2022-03-31,7.34,$-1.97,0.0
2021-12-31,7.08,$-1.74,0.0
2021-09-30,25.07,$-2.86,0.0
2021-06-30,26.9,$-0.67,0.0
2021-03-31,28.46,$-3.21,0.0
