"STEEL CONNECT, INC Price to Free Cash Flow Ratio Historical Data","STEEL CONNECT, INC Price to Free Cash Flow Ratio Historical Data","STEEL CONNECT, INC Price to Free Cash Flow Ratio Historical Data","STEEL CONNECT, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,12.5,,15.04
2024-10-31,10.61,$0.83,12.76
2024-07-31,12.89,$0.63,20.61
2024-04-30,12.49,$0.08,162.84
2024-01-31,9.52,$-0.61,0.0
2023-10-31,9.7,$-0.14,0.0
2023-07-31,9.78,$0.55,17.75
2023-04-30,9.8,$1.20,8.19
2023-01-31,12.32,$1.19,10.31
2022-10-31,12.88,$0.85,15.13
2022-07-31,12.6,$-0.72,0.0
2022-04-30,11.95,$-1.50,0.0
2022-01-31,10.45,$-2.38,0.0
2021-10-31,18.48,$-5.74,0.0
2021-07-31,17.73,$-1.37,0.0
2021-04-30,18.29,$0.82,22.43
2021-01-31,16.71,$8.79,1.9
2020-10-31,5.41,$11.78,0.46
2020-07-31,4.95,$11.37,0.44
2020-04-30,7.19,$6.34,1.13
2020-01-31,13.07,$0.91,14.34
2019-07-31,16.61,$0.97,17.2
2019-04-30,18.2,$-2.93,0.0
2019-01-31,15.49,$2.41,6.44
2018-10-31,19.13,$2.97,6.43
2018-07-31,19.79,$6.12,3.24
2019-10-31,14.56,$5.71,2.55
2018-04-30,18.2,$3.07,5.93
2018-01-31,20.81,$2.38,8.74
2017-10-31,16.99,$-5.90,0.0
2017-07-31,15.68,$-4.87,0.0
2017-04-30,15.77,$-5.26,0.0
2016-10-31,12.69,$-9.44,0.0
2016-07-31,11.95,$-4.75,0.0
2016-04-30,13.63,$-10.89,0.0
2016-01-31,20.07,$-4.67,0.0
2015-10-31,26.97,$5.82,4.63
2015-07-31,30.33,$1.92,15.81
2015-04-30,32.67,$9.71,3.36
2015-01-31,33.69,$4.06,8.3
2014-10-31,32.67,$-3.69,0.0
2014-07-31,34.81,$2.26,15.41
2014-04-30,37.71,$-0.72,0.0
2014-01-31,48.07,$-1.64,0.0
2013-07-31,29.03,$0.14,211.72
2013-04-30,26.13,$-6.42,0.0
2013-01-31,27.16,$-8.46,0.0
2012-10-31,27.35,$-9.91,0.0
2012-07-31,31.92,$-10.59,0.0
2012-04-30,46.2,$-6.51,0.0
2012-01-31,53.39,$-2.61,0.0
2011-10-31,39.01,$-1.67,0.0
2011-07-31,39.11,$-0.45,0.0
2011-04-30,48.91,$-3.13,0.0
2013-10-31,38.45,$-2.74,0.0
2011-01-31,48.99,$-0.65,0.0
2010-10-31,53.14,$-2.13,0.0
2010-07-31,52.42,$4.25,12.34
2010-04-30,71.36,$6.57,10.87
2010-01-31,81.11,$6.20,13.09
2009-07-31,56.98,$5.13,11.11
2009-04-30,29.57,$-0.93,0.0
