Coherus BioSciences Price to Free Cash Flow Ratio Historical Data,Coherus BioSciences Price to Free Cash Flow Ratio Historical Data,Coherus BioSciences Price to Free Cash Flow Ratio Historical Data,Coherus BioSciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.95,,0.0
2024-09-30,1.04,$-0.63,0.0
2024-06-30,1.73,$-0.51,0.0
2024-03-31,2.39,$-1.37,0.0
2023-12-31,3.33,$-1.86,0.0
2023-09-30,3.74,$-2.95,0.0
2023-06-30,4.27,$-3.00,0.0
2023-03-31,6.84,$-3.29,0.0
2022-12-31,7.92,$-3.13,0.0
2022-09-30,9.61,$-2.53,0.0
2022-06-30,7.24,$-1.88,0.0
2022-03-31,12.91,$-1.24,0.0
2021-12-31,15.96,$-0.51,0.0
2021-09-30,16.07,$0.63,25.68
2021-06-30,13.83,$0.98,14.06
2021-03-31,14.61,$1.62,9.02
2020-12-31,17.38,$1.76,9.88
2020-09-30,18.34,$1.56,11.78
2020-06-30,17.86,$1.76,10.14
2020-03-31,16.22,$1.35,12.03
2019-12-31,18.01,$0.36,49.67
2019-09-30,20.26,$-0.69,0.0
2019-06-30,22.1,$-1.99,0.0
2019-03-31,13.64,$-2.73,0.0
2018-12-31,9.05,$-2.46,0.0
2018-09-30,16.5,$-2.28,0.0
2018-06-30,14.0,$-2.37,0.0
2018-03-31,11.05,$-2.88,0.0
2017-12-31,8.8,$-3.86,0.0
2017-09-30,13.35,$-6.15,0.0
2017-06-30,14.35,$-6.14,0.0
2017-03-31,21.15,$-5.71,0.0
2016-12-31,28.15,$-6.18,0.0
2016-09-30,26.78,$-3.27,0.0
2016-06-30,16.89,$-4.19,0.0
2016-03-31,21.23,$-4.05,0.0
2015-12-31,22.96,$-3.08,0.0
2015-09-30,20.04,$-4.43,0.0
