Perma-Fix Environmental Services Price to Free Cash Flow Ratio Historical Data,Perma-Fix Environmental Services Price to Free Cash Flow Ratio Historical Data,Perma-Fix Environmental Services Price to Free Cash Flow Ratio Historical Data,Perma-Fix Environmental Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.54,,0.0
2024-12-31,11.07,$-1.20,0.0
2024-09-30,12.27,$-0.42,0.0
2024-06-30,10.13,$-0.39,0.0
2024-03-31,11.89,$-0.07,0.0
2023-12-31,7.86,$0.35,22.7
2023-09-30,10.45,$-0.08,0.0
2023-06-30,10.98,$0.41,26.59
2023-03-31,11.78,$-0.03,0.0
2022-12-31,3.53,$-0.12,0.0
2022-09-30,4.48,$-0.36,0.0
2022-06-30,5.19,$-0.94,0.0
2022-03-31,5.53,$-0.11,0.0
2021-12-31,6.33,$-0.66,0.0
2021-09-30,6.65,$-0.12,0.0
2021-06-30,7.15,$0.34,21.24
2021-03-31,7.33,$-0.31,0.0
2020-12-31,5.97,$0.46,13.03
2020-09-30,7.05,$-0.03,0.0
2020-06-30,6.39,$-0.28,0.0
2020-03-31,5.21,$-0.28,0.0
2019-12-31,9.1,$-0.52,0.0
2019-09-30,4.54,$-0.26,0.0
2019-06-30,3.91,$-0.23,0.0
2019-03-31,3.51,$-0.18,0.0
2018-12-31,2.35,$0.05,48.45
2018-09-30,4.2,$-0.01,0.0
2018-06-30,4.5,$0.25,17.88
2018-03-31,4.15,$0.03,134.74
2017-12-31,3.65,$0.00,0.0
2017-09-30,3.8,$0.13,28.88
2017-06-30,3.65,$0.05,78.66
2017-03-31,3.15,$0.12,25.74
2016-12-31,3.9,$-0.02,0.0
2016-09-30,5.01,$-0.32,0.0
2016-06-30,5.09,$-0.11,0.0
2016-03-31,3.7,$0.14,27.01
2015-12-31,3.72,$-0.14,0.0
2015-09-30,4.03,$0.15,26.19
2015-06-30,3.81,$0.18,21.04
2015-03-31,3.88,$-0.27,0.0
2014-12-31,4.35,$-0.15,0.0
2014-09-30,3.82,$-0.16,0.0
2014-06-30,4.6,$-0.51,0.0
2014-03-31,4.88,$-0.26,0.0
2013-12-31,3.11,$-0.32,0.0
2013-09-30,3.67,$-0.26,0.0
2013-06-30,1.8,$0.14,12.87
2013-03-31,4.1,$0.20,20.4
2012-12-31,3.41,$-0.33,0.0
2012-09-30,5.2,$0.08,66.92
2012-06-30,5.85,$0.62,9.48
2012-03-31,7.95,$1.05,7.54
2011-12-31,7.75,$1.66,4.68
2011-09-30,6.0,$1.28,4.68
2011-06-30,6.95,$0.54,12.76
2011-03-31,7.55,$0.61,12.36
2010-12-31,8.15,$0.56,14.55
2010-09-30,8.35,$1.08,7.72
2010-06-30,8.05,$1.10,7.31
2010-03-31,11.2,$0.45,24.64
2009-12-31,11.35,$0.64,17.83
