Portland General Electric Price to Free Cash Flow Ratio Historical Data,Portland General Electric Price to Free Cash Flow Ratio Historical Data,Portland General Electric Price to Free Cash Flow Ratio Historical Data,Portland General Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.33,,0.0
2024-12-31,43.62,$-4.70,0.0
2024-09-30,47.9,$-6.23,0.0
2024-06-30,42.79,$-7.70,0.0
2024-03-31,41.08,$-7.69,0.0
2023-12-31,41.9,$-9.58,0.0
2023-09-30,38.71,$-7.46,0.0
2023-06-30,44.3,$-6.73,0.0
2023-03-31,45.77,$-5.44,0.0
2022-12-31,45.44,$-1.03,0.0
2022-09-30,39.93,$-1.72,0.0
2022-06-30,44.0,$0.72,61.33
2022-03-31,49.73,$-0.28,0.0
2021-12-31,47.35,$-1.16,0.0
2021-09-30,41.69,$-0.15,0.0
2021-06-30,40.52,$-2.82,0.0
2021-03-31,41.36,$-2.18,0.0
2020-12-31,36.95,$-2.42,0.0
2020-09-30,30.37,$-2.93,0.0
2020-06-30,35.36,$-1.31,0.0
2020-03-31,40.17,$-0.82,0.0
2019-12-31,46.33,$-0.67,0.0
2019-09-30,46.49,$-0.06,0.0
2019-06-30,44.38,$0.06,684.84
2019-03-31,42.17,$-0.25,0.0
2018-12-31,37.04,$0.39,94.56
2018-09-30,36.55,$0.76,48.13
2018-06-30,33.99,$0.75,45.35
2018-03-31,31.93,$1.01,31.68
2017-12-31,35.62,$0.93,38.27
2017-09-30,35.4,$0.95,37.12
2017-06-30,35.18,$0.53,66.7
2017-03-31,33.95,$0.04,763.02
2016-12-31,32.89,$-0.25,0.0
2016-09-30,32.09,$-0.29,0.0
2016-06-30,33.0,$0.09,351.45
2016-03-31,29.32,$-0.05,0.0
2015-12-31,26.79,$-0.92,0.0
2015-09-30,27.01,$-1.87,0.0
2015-06-30,24.03,$-4.42,0.0
2015-03-31,26.64,$-6.30,0.0
2014-12-31,26.97,$-6.05,0.0
2014-09-30,22.73,$-5.85,0.0
2014-06-30,24.32,$-4.13,0.0
2014-03-31,22.5,$-2.49,0.0
2013-12-31,20.83,$-1.45,0.0
2013-09-30,19.29,$-0.34,0.0
2013-06-30,20.71,$1.19,17.46
2013-03-31,20.34,$2.87,7.1
2012-12-31,18.18,$2.66,6.84
2012-09-30,17.79,$2.66,6.69
2012-06-30,17.37,$1.88,9.23
2012-03-31,16.11,$1.55,10.38
2011-12-31,16.13,$2.03,7.94
2011-09-30,14.95,$2.55,5.87
2011-06-30,15.77,$1.33,11.9
2011-03-31,14.67,$0.56,26.31
2010-12-31,13.24,$-0.78,0.0
2010-09-30,12.23,$-2.92,0.0
2010-06-30,10.92,$-2.17,0.0
2010-03-31,11.34,$-3.80,0.0
2009-12-31,11.83,$-4.26,0.0
