Middlefield Banc Price to Free Cash Flow Ratio Historical Data,Middlefield Banc Price to Free Cash Flow Ratio Historical Data,Middlefield Banc Price to Free Cash Flow Ratio Historical Data,Middlefield Banc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.1,,12.64
2024-12-31,28.05,$2.06,13.59
2024-09-30,28.62,$2.73,10.49
2024-06-30,23.73,$2.29,10.35
2024-03-31,23.34,$2.52,9.26
2023-12-31,31.38,$2.62,11.99
2023-09-30,24.42,$2.55,9.58
2023-06-30,25.55,$3.25,7.86
2023-03-31,26.51,$3.26,8.14
2022-12-31,25.74,$2.91,8.86
2022-09-30,25.2,$2.65,9.5
2022-06-30,23.28,$2.43,9.57
2022-03-31,22.78,$2.37,9.63
2021-12-31,22.61,$2.39,9.48
2021-09-30,21.54,$3.22,6.69
2021-06-30,21.19,$2.89,7.34
2021-03-31,18.7,$2.18,8.57
2020-12-31,19.93,$2.19,9.1
2020-09-30,16.98,$1.24,13.74
2020-06-30,18.11,$1.43,12.65
2020-03-31,13.69,$2.15,6.36
2019-12-31,22.45,$1.78,12.63
2019-09-30,20.02,$2.15,9.29
2019-06-30,17.44,$2.00,8.74
2019-03-31,17.4,$1.73,10.07
2018-12-31,17.8,$1.88,9.48
2018-09-30,19.64,$2.44,8.05
2018-06-30,21.02,$3.13,6.71
2018-03-31,20.25,$2.65,7.65
2017-12-31,19.74,$2.08,9.48
2017-09-30,18.77,$0.74,25.29
2017-06-30,20.4,$-0.27,0.0
2017-03-31,18.18,$0.44,40.99
2016-12-31,15.48,$1.33,11.65
2016-09-30,13.46,$1.69,7.98
2016-06-30,12.47,$2.02,6.17
2016-03-31,12.3,$2.10,5.85
2015-12-31,12.55,$1.65,7.61
2015-09-30,11.77,$1.61,7.31
2015-06-30,12.48,$1.69,7.39
2015-03-31,12.0,$1.44,8.35
2014-12-31,12.6,$1.60,7.88
2014-09-30,12.6,$1.56,8.09
2014-06-30,10.98,$1.59,6.91
2014-03-31,10.08,$1.91,5.27
2013-12-31,9.67,$1.99,4.86
2013-09-30,10.31,$2.42,4.26
2013-06-30,9.58,$2.44,3.92
2013-03-31,10.94,$2.37,4.62
2012-12-31,9.06,$2.42,3.74
2012-09-30,8.16,$2.59,3.14
2012-06-30,7.91,$2.51,3.16
2012-03-31,7.36,$2.61,2.82
2011-12-31,5.9,$2.54,2.32
2011-09-30,5.73,$2.23,2.57
2011-06-30,5.81,$2.29,2.53
2011-03-31,5.73,$2.22,2.58
2010-12-31,5.66,$1.72,3.3
2010-09-30,5.32,$0.70,7.66
2010-06-30,6.17,$0.40,15.27
2010-03-31,6.92,$0.13,52.93
2009-12-31,6.02,$0.22,27.93
