Gold Resource Price to Free Cash Flow Ratio Historical Data,Gold Resource Price to Free Cash Flow Ratio Historical Data,Gold Resource Price to Free Cash Flow Ratio Historical Data,Gold Resource Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.52,,0.0
2024-09-30,0.35,$-0.10,0.0
2024-06-30,0.37,$-0.17,0.0
2024-03-31,0.43,$-0.18,0.0
2023-12-31,0.38,$-0.20,0.0
2023-09-30,0.43,$-0.17,0.0
2023-06-30,0.63,$-0.13,0.0
2023-03-31,1.05,$-0.05,0.0
2022-12-31,1.53,$-0.05,0.0
2022-09-30,1.64,$0.03,57.75
2022-06-30,1.61,$0.12,13.89
2022-03-31,2.2,$0.13,16.37
2021-12-31,1.53,$0.19,8.14
2021-09-30,1.53,$0.13,11.76
2021-06-30,2.49,$0.19,13.05
2021-03-31,2.54,$0.11,22.83
2020-12-31,2.79,$0.12,23.47
2020-09-30,3.26,$0.52,6.33
2020-06-30,3.92,$0.45,8.65
2020-03-31,2.62,$0.31,8.5
2019-12-31,5.26,$0.11,46.91
2019-09-30,2.89,$-0.21,0.0
2019-06-30,3.2,$-0.38,0.0
2019-03-31,3.71,$-0.25,0.0
2018-12-31,3.78,$0.02,172.38
2018-09-30,4.85,$0.03,153.83
2018-06-30,6.21,$0.20,31.67
2018-03-31,4.24,$0.24,17.62
2017-12-31,4.14,$0.18,23.35
2017-09-30,3.52,$0.02,180.52
2017-06-30,3.82,$0.08,46.64
2017-03-31,4.23,$0.14,31.05
2016-12-31,4.07,$0.05,82.19
2016-09-30,6.92,$0.10,69.39
2016-06-30,3.34,$-0.05,0.0
2016-03-31,2.17,$-0.08,0.0
2015-12-31,1.54,$-0.12,0.0
2015-09-30,2.32,$-0.06,0.0
2015-06-30,2.5,$-0.02,0.0
2015-03-31,2.86,$0.17,16.84
2014-12-31,3.0,$0.39,7.62
2014-09-30,4.51,$0.37,12.25
2014-06-30,4.43,$0.27,16.7
2014-03-31,4.16,$0.10,40.53
2013-12-31,3.92,$0.00,0.0
2013-09-30,5.62,$0.16,34.85
2013-06-30,7.32,$0.35,20.72
2013-03-31,10.83,$0.47,22.83
2012-12-31,12.65,$0.47,26.7
2012-09-30,17.42,$0.55,31.69
2012-06-30,20.93,$0.73,28.54
2012-03-31,19.45,$0.74,26.42
2011-12-31,16.9,$0.60,28.12
2011-09-30,13.15,$0.12,107.94
2011-06-30,19.58,$-0.09,0.0
2011-03-31,20.82,$-0.40,0.0
2010-12-31,22.91,$-0.53,0.0
2010-09-30,14.49,$-0.56,0.0
2010-06-30,9.98,$-0.75,0.0
2010-03-31,8.04,$-0.79,0.0
2009-12-31,8.7,$-0.79,0.0
