Shell Price to Free Cash Flow Ratio Historical Data,Shell Price to Free Cash Flow Ratio Historical Data,Shell Price to Free Cash Flow Ratio Historical Data,Shell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,71.95,,6.49
2024-09-30,65.95,$11.08,5.95
2024-06-30,72.18,$10.04,7.19
2024-03-31,67.04,$10.19,6.58
2023-12-31,65.8,$9.93,6.63
2023-09-30,64.38,$12.45,5.17
2023-06-30,60.38,$12.37,4.88
2023-03-31,57.54,$12.56,4.58
2022-12-31,56.95,$12.75,4.47
2022-09-30,49.76,$11.23,4.43
2022-06-30,51.81,$12.31,4.21
2022-03-31,53.96,$11.33,4.76
2021-12-31,42.26,$10.33,4.09
2021-09-30,42.93,$7.92,5.42
2021-06-30,38.92,$6.55,5.94
2021-03-31,37.77,$3.93,9.61
2020-12-31,33.85,$5.13,6.59
2020-09-30,24.25,$5.92,4.09
2020-06-30,31.18,$6.39,4.88
2020-03-31,32.92,$8.14,4.05
2019-12-31,54.65,$5.92,9.23
2019-09-30,53.68,$8.85,6.07
2019-06-30,58.35,$8.10,7.2
2019-03-31,56.13,$7.85,7.15
2018-12-31,52.26,$8.25,6.33
2018-09-30,61.11,$5.26,11.62
2018-06-30,61.21,$4.35,14.08
2018-03-31,55.68,$5.70,9.76
2017-12-31,57.38,$5.69,10.08
2017-09-30,52.1,$5.82,8.95
2017-06-30,45.75,$6.07,7.53
2017-03-31,45.35,$2.77,16.35
2016-12-31,45.96,$0.14,317.64
2016-09-30,42.32,$-1.18,0.0
2016-06-30,45.79,$-0.30,0.0
2016-03-31,40.18,$0.32,125.05
2015-12-31,37.21,$2.63,14.16
2015-09-30,38.51,$3.76,10.25
2015-06-30,45.6,$4.74,9.62
2015-03-31,47.01,$6.07,7.75
2014-12-31,52.77,$7.36,7.17
2014-09-30,59.2,$3.85,15.37
2014-06-30,63.3,$1.61,39.35
2014-03-31,56.14,$1.51,37.07
2013-12-31,54.07,$0.53,101.47
2013-09-30,49.16,$-2.79,0.0
2013-06-30,47.09,$-2.82,0.0
2013-03-31,47.46,$-1.47,0.0
2012-12-31,49.58,$0.24,207.28
2012-09-30,49.27,$8.02,6.14
2012-06-30,47.29,$9.48,4.99
2012-03-31,48.55,$9.33,5.2
2011-09-30,41.59,$6.72,6.19
2011-06-30,47.52,$4.82,9.87
2011-03-31,48.11,$3.70,12.99
2010-12-31,43.57,$1.22,35.8
2010-09-30,38.85,$0.40,97.55
2010-06-30,31.9,$0.85,37.36
2010-03-31,36.22,$-1.82,0.0
2009-12-31,37.05,$-1.21,0.0
