Natural Health Trends Price to Free Cash Flow Ratio Historical Data,Natural Health Trends Price to Free Cash Flow Ratio Historical Data,Natural Health Trends Price to Free Cash Flow Ratio Historical Data,Natural Health Trends Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.03,,0.0
2024-12-31,4.62,$-0.30,0.0
2024-09-30,5.76,$-0.31,0.0
2024-06-30,6.68,$-0.35,0.0
2024-03-31,6.13,$-0.27,0.0
2023-12-31,5.2,$-0.38,0.0
2023-09-30,4.53,$-0.29,0.0
2023-06-30,4.56,$-0.42,0.0
2023-03-31,3.93,$-0.29,0.0
2022-12-31,2.63,$-0.44,0.0
2022-09-30,2.69,$-0.39,0.0
2022-06-30,3.79,$-0.28,0.0
2022-03-31,4.87,$-0.17,0.0
2021-12-31,4.52,$0.07,65.39
2021-09-30,4.68,$0.23,20.34
2021-06-30,4.43,$0.28,16.01
2021-03-31,4.17,$0.27,15.28
2020-12-31,2.99,$0.15,20.41
2020-09-30,3.27,$-0.10,0.0
2020-06-30,3.22,$-0.46,0.0
2020-03-31,1.78,$-0.82,0.0
2019-12-31,2.78,$-1.73,0.0
2019-09-30,3.46,$-1.39,0.0
2019-06-30,3.94,$-0.21,0.0
2019-03-31,6.34,$0.61,10.31
2018-12-31,8.88,$2.61,3.41
2018-09-30,11.02,$3.21,3.43
2018-06-30,11.65,$1.97,5.91
2018-03-31,8.09,$2.10,3.85
2017-12-31,6.42,$2.34,2.75
2017-09-30,9.95,$2.75,3.62
2017-06-30,11.38,$3.76,3.02
2017-03-31,11.63,$4.65,2.5
2016-12-31,9.85,$4.58,2.15
2016-09-30,11.01,$4.43,2.48
2016-06-30,10.96,$6.01,1.82
2016-03-31,12.87,$6.37,2.02
2015-12-31,12.99,$6.52,1.99
2015-09-30,12.65,$6.04,2.1
2015-06-30,16.03,$4.51,3.55
2015-03-31,6.91,$3.00,2.31
2014-12-31,4.42,$2.40,1.84
2014-09-30,4.67,$2.10,2.22
2014-06-30,2.58,$1.74,1.49
2014-03-31,1.93,$1.54,1.25
2013-12-31,1.23,$0.92,1.34
2013-09-30,0.71,$0.50,1.42
2013-06-30,0.37,$0.19,1.95
2013-03-31,0.48,$0.20,2.36
2012-12-31,0.39,$0.19,2.07
2012-09-30,0.46,$0.13,3.45
2012-06-30,0.48,$0.30,1.6
2012-03-31,0.51,$0.20,2.54
2011-12-31,0.25,$0.13,1.91
2011-09-30,0.26,$0.29,0.92
2011-06-30,0.17,$0.12,1.39
2011-03-31,0.05,$0.06,0.93
2010-12-31,0.05,0,0.0
