Atlas Lithium Price to Free Cash Flow Ratio Historical Data,Atlas Lithium Price to Free Cash Flow Ratio Historical Data,Atlas Lithium Price to Free Cash Flow Ratio Historical Data,Atlas Lithium Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.7,,0.0
2024-12-31,6.33,$-3.15,0.0
2024-09-30,6.8,$-4.19,0.0
2024-06-30,10.38,$-4.52,0.0
2024-03-31,17.02,$-1.68,0.0
2023-12-31,31.28,$-1.49,0.0
