Euroseas Price to Free Cash Flow Ratio Historical Data,Euroseas Price to Free Cash Flow Ratio Historical Data,Euroseas Price to Free Cash Flow Ratio Historical Data,Euroseas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.22,,1.58
2024-09-30,48.08,$19.72,2.44
2024-06-30,33.87,$19.59,1.73
2024-03-31,34.22,$14.69,2.33
2023-12-31,29.26,$20.08,1.46
2023-09-30,24.59,$12.21,2.01
2023-06-30,19.63,$12.10,1.62
2023-03-31,16.38,$11.64,1.41
2022-12-31,15.93,$10.82,1.47
2022-09-30,17.5,$16.96,1.03
2022-06-30,19.66,$14.23,1.38
2022-03-31,23.47,$10.72,2.19
2021-12-31,20.14,$7.52,2.68
2021-09-30,27.19,$4.66,5.84
2021-06-30,18.66,$4.28,4.36
2021-03-31,7.95,$3.51,2.26
2020-12-31,4.39,$2.96,1.48
2020-09-30,2.0,$-12.69,0.0
2020-06-30,2.04,$-18.16,0.0
2020-03-31,1.82,$-17.01,0.0
2019-12-31,3.29,$-18.34,0.0
2019-09-30,4.6,$-6.04,0.0
2019-06-30,3.98,$-4.41,0.0
2019-03-31,4.53,$0.51,8.96
2018-12-31,4.53,$3.38,1.34
2018-09-30,8.22,$-4.15,0.0
2018-06-30,11.32,$-2.76,0.0
2018-03-31,8.5,$-9.81,0.0
2017-12-31,6.73,$-11.17,0.0
2017-09-30,6.6,$-29.14,0.0
2017-06-30,5.02,$-4.96,0.0
2017-03-31,5.69,$-2.70,0.0
2016-12-31,6.68,$-23.48,0.0
2016-09-30,7.95,$24.71,0.32
2016-06-30,7.39,$-1.55,0.0
2016-03-31,7.35,$-11.58,0.0
2015-12-31,10.08,$6.64,1.52
2015-09-30,18.34,$-47.76,0.0
2015-06-30,30.04,$-46.75,0.0
2015-03-31,28.15,$-33.83,0.0
2014-12-31,30.04,$-32.20,0.0
2014-09-30,44.28,$-6.10,0.0
2014-06-30,45.86,$2.20,20.86
2014-03-31,49.43,$6.22,7.94
2013-12-31,57.32,$9.47,6.06
2013-09-30,59.69,$24.73,2.41
2013-06-30,40.63,$12.49,3.25
2013-03-31,44.28,$11.67,3.8
2012-12-31,34.51,$26.22,1.32
2012-09-30,41.87,$37.42,1.12
2012-06-30,43.34,$55.67,0.78
2012-03-31,81.08,$51.90,1.56
2011-12-31,82.08,$44.46,1.85
2011-09-30,107.68,$30.74,3.5
2011-06-30,145.78,$21.93,6.65
2011-03-31,159.14,$-5.85,0.0
2010-12-31,119.79,$-8.73,0.0
2010-09-30,127.53,$5.12,24.89
2010-06-30,110.77,$-50.68,0.0
2010-03-31,119.18,$-32.67,0.0
2009-12-31,119.86,$-97.92,0.0
