First Hawaiian Price to Free Cash Flow Ratio Historical Data,First Hawaiian Price to Free Cash Flow Ratio Historical Data,First Hawaiian Price to Free Cash Flow Ratio Historical Data,First Hawaiian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.26,,10.78
2024-12-31,25.95,$2.25,11.53
2024-09-30,22.93,$1.78,12.89
2024-06-30,20.34,$1.55,13.16
2024-03-31,21.26,$1.80,11.81
2023-12-31,21.87,$1.94,11.3
2023-09-30,17.04,$2.57,6.63
2023-06-30,16.78,$3.58,4.68
2023-03-31,18.92,$3.53,5.36
2022-12-31,23.65,$3.40,6.97
2022-09-30,22.15,$3.32,6.68
2022-06-30,20.23,$2.49,8.11
2022-03-31,24.58,$2.44,10.08
2021-12-31,23.87,$3.09,7.72
2021-09-30,25.4,$3.00,8.47
2021-06-30,24.29,$2.53,9.61
2021-03-31,23.24,$3.02,7.7
2020-12-31,19.84,$1.36,14.6
2020-09-30,12.03,$1.45,8.28
2020-06-30,14.11,$1.73,8.15
2020-03-31,13.31,$1.10,12.13
2019-12-31,23.01,$2.01,11.46
2019-09-30,21.1,$1.57,13.43
2019-06-30,20.23,$2.03,9.98
2019-03-31,20.17,$2.35,8.58
2018-12-31,17.27,$2.31,7.49
2018-09-30,20.64,$2.26,9.13
2018-06-30,21.87,$2.05,10.68
2018-03-31,20.8,$1.82,11.43
2017-12-31,21.62,$1.92,11.24
2017-09-30,22.27,$1.79,12.43
2017-06-30,22.33,$2.59,8.63
