Petros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Petros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Petros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Petros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.08,,0.0
2024-09-30,0.36,$-1.34,0.0
2024-06-30,0.46,$-3.26,0.0
2024-03-31,1.48,$-3.39,0.0
2023-12-31,1.41,$-3.50,0.0
2023-09-30,1.73,$-3.29,0.0
2023-06-30,2.03,$-2.22,0.0
2023-03-31,1.4,$-3.99,0.0
2022-12-31,2.33,$-6.18,0.0
2022-09-30,5.1,$-12.70,0.0
2022-06-30,8.4,$-13.08,0.0
2022-03-31,15.6,$-12.99,0.0
2021-12-31,33.3,$-10.89,0.0
2021-09-30,20.0,$-0.88,0.0
2021-06-30,31.3,$-7.42,0.0
2021-03-31,37.3,$-24.32,0.0
2020-12-31,44.0,$-28.67,0.0
2020-09-30,11.1,$18.68,0.59
2020-06-30,11.6,$15.91,0.73
2020-03-31,8.2,$23.85,0.34
2019-12-31,9.82,$10.00,0.98
2019-09-30,8.1,$-47.61,0.0
2019-06-30,80.2,$-50.15,0.0
2019-03-31,54.5,$-56.24,0.0
2018-12-31,35.7,$-47.82,0.0
2018-09-30,88.1,$-58.03,0.0
2018-06-30,96.8,$-62.34,0.0
2018-03-31,81.4,$-59.23,0.0
2017-12-31,70.4,$-71.29,0.0
