AEON Biopharma Price to Free Cash Flow Ratio Historical Data,AEON Biopharma Price to Free Cash Flow Ratio Historical Data,AEON Biopharma Price to Free Cash Flow Ratio Historical Data,AEON Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.73,,0.0
2024-09-30,1.05,$-57.15,0.0
2024-06-30,1.05,$-112.59,0.0
2024-03-31,11.6,$-103.46,0.0
2023-12-31,7.2,$-92.59,0.0
2023-09-30,5.6,$-75.64,0.0
2023-06-30,7.08,$-23.61,0.0
2023-03-31,10.15,$-20.03,0.0
2022-12-31,10.05,$-18.60,0.0
2022-09-30,9.85,$-16.12,0.0
2022-06-30,9.81,$-11.25,0.0
2022-03-31,9.78,$-20.09,0.0
