I-80 Gold Price to Free Cash Flow Ratio Historical Data,I-80 Gold Price to Free Cash Flow Ratio Historical Data,I-80 Gold Price to Free Cash Flow Ratio Historical Data,I-80 Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.7,,0.0
2024-09-30,1.16,$-0.23,0.0
2024-06-30,1.08,$-0.25,0.0
2024-03-31,1.34,$-0.29,0.0
2023-12-31,1.76,$-0.34,0.0
2023-09-30,1.53,$-0.40,0.0
2023-06-30,2.25,$-0.41,0.0
2023-03-31,2.45,$-0.53,0.0
