Winmark Price to Free Cash Flow Ratio Historical Data,Winmark Price to Free Cash Flow Ratio Historical Data,Winmark Price to Free Cash Flow Ratio Historical Data,Winmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,322.42,,28.18
2024-12-31,393.07,$11.44,34.35
2024-09-30,375.02,$11.54,32.49
2024-06-30,344.5,$11.49,29.99
2024-03-31,352.52,$11.75,29.99
2023-12-31,406.08,$11.98,33.9
2023-09-30,354.71,$12.08,29.37
2023-06-30,315.38,$12.22,25.8
2023-03-31,303.22,$12.42,24.42
2022-12-31,222.61,$12.15,18.32
2022-09-30,201.2,$13.02,15.45
2022-06-30,181.31,$12.88,14.07
2022-03-31,203.27,$12.72,15.98
2021-12-31,228.95,$12.61,18.15
2021-09-30,192.29,$11.92,16.13
2021-06-30,171.39,$10.71,16.0
2021-03-31,165.97,$10.36,16.01
2020-12-31,165.18,$10.11,16.34
2020-09-30,150.18,$10.15,14.8
2020-06-30,149.14,$11.12,13.41
2020-03-31,110.93,$10.40,10.66
2019-12-31,172.43,$10.11,17.05
2019-09-30,153.16,$8.40,18.23
2019-06-30,150.13,$5.82,25.81
2019-03-31,163.28,$4.67,34.99
2018-12-31,137.53,$2.68,51.24
2018-09-30,143.44,$1.62,88.68
2018-06-30,128.14,$1.24,103.47
2018-03-31,112.78,$0.62,181.29
2017-12-31,111.48,$-0.06,0.0
2017-09-30,113.41,$-0.83,0.0
2017-06-30,110.9,$-0.63,0.0
2017-03-31,97.1,$-1.09,0.0
2016-12-31,108.31,$-0.00,0.0
2016-09-30,90.51,$0.92,97.95
2016-06-30,85.41,$0.32,268.24
2016-03-31,83.87,$0.62,135.47
2015-12-31,79.55,$-0.00,0.0
2015-09-30,87.97,$-0.79,0.0
2015-06-30,84.13,$-0.14,0.0
2015-03-31,74.74,$-1.25,0.0
2014-12-31,74.13,$-1.92,0.0
2014-09-30,62.64,$-1.50,0.0
2014-06-30,59.29,$-1.28,0.0
2014-03-31,64.37,$-0.21,0.0
2013-12-31,74.24,$0.10,740.89
2013-09-30,59.04,$-0.22,0.0
2013-06-30,51.92,$-0.73,0.0
2013-03-31,50.38,$-0.76,0.0
2012-12-31,45.56,$-1.11,0.0
2012-09-30,43.19,$-0.47,0.0
2012-06-30,46.73,$-0.54,0.0
2012-03-31,46.21,$-0.53,0.0
2011-12-31,42.5,$0.01,0.0
2011-09-30,34.22,$0.26,131.17
2011-06-30,32.06,$-0.19,0.0
2011-03-31,34.11,$-0.03,0.0
2010-12-31,24.86,$-0.63,0.0
2010-09-30,24.69,$-1.09,0.0
2010-06-30,24.7,$-0.48,0.0
2010-03-31,17.08,$-0.00,0.0
2009-12-31,15.85,$-0.48,0.0
