J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,147.5,,18.74
2024-12-31,170.66,$7.87,21.68
2024-09-30,171.95,$6.01,28.63
2024-06-30,159.22,$3.11,51.23
2024-03-31,197.78,$3.24,61.09
2023-12-31,197.87,$1.38,143.13
2023-09-30,186.3,$2.07,89.99
2023-06-30,178.54,$3.84,46.53
2023-03-31,172.63,$4.28,40.32
2022-12-31,171.18,$3.28,52.24
2022-09-30,153.2,$2.16,70.95
2022-06-30,153.89,$1.20,127.9
2022-03-31,195.77,$0.67,292.54
2021-12-31,198.88,$3.25,61.11
2021-09-30,162.46,$4.87,33.35
2021-06-30,158.02,$5.19,30.46
2021-03-31,162.71,$6.37,25.53
2020-12-31,132.03,$4.89,27.0
2020-09-30,121.85,$4.86,25.09
2020-06-30,115.79,$6.10,18.99
2020-03-31,88.5,$4.56,19.4
2019-12-31,111.79,$3.79,29.52
2019-09-30,105.7,$3.34,31.61
2019-06-30,87.09,$1.46,59.49
2019-03-31,96.24,$1.44,66.85
2018-12-31,88.19,$1.83,48.13
2018-09-30,112.5,$2.02,55.82
2018-06-30,114.74,$2.17,52.83
2018-03-31,110.36,$2.11,52.28
2017-12-31,108.09,$3.10,34.83
2017-09-30,104.2,$3.22,32.35
2017-06-30,85.5,$3.87,22.12
2017-03-31,85.62,$3.32,25.78
2016-12-31,90.38,$3.25,27.77
2016-09-30,75.34,$3.29,22.88
2016-06-30,74.95,$3.31,22.68
2016-03-31,77.81,$3.42,22.78
2015-12-31,67.55,$2.71,24.89
2015-09-30,65.57,$2.12,30.92
2015-06-30,75.19,$1.64,45.91
2015-03-31,78.03,$0.85,91.46
2014-12-31,76.79,$-0.11,0.0
2014-09-30,67.33,$0.51,130.88
2014-06-30,66.91,$-0.02,0.0
2014-03-31,65.05,$0.35,188.07
2013-12-31,69.73,$1.10,63.15
2013-09-30,65.65,$0.99,66.55
2013-06-30,64.9,$1.42,45.57
2013-03-31,66.78,$1.73,38.61
2012-12-31,53.53,$1.49,36.02
2012-09-30,46.43,$1.35,34.31
2012-06-30,53.03,$1.52,34.89
2012-03-31,48.26,$1.88,25.62
2011-12-31,39.9,$1.56,25.62
2011-09-30,31.88,$1.47,21.64
2011-06-30,41.44,$1.55,26.69
2011-03-31,39.86,$1.48,26.96
2010-12-31,35.7,$1.58,22.57
2010-09-30,30.26,$1.99,15.2
2010-06-30,28.39,$1.58,17.97
2010-03-31,31.08,$0.98,31.69
2009-12-31,27.84,$0.89,31.3
