Cyclo Therapeutics Price to Free Cash Flow Ratio Historical Data,Cyclo Therapeutics Price to Free Cash Flow Ratio Historical Data,Cyclo Therapeutics Price to Free Cash Flow Ratio Historical Data,Cyclo Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.68,,0.0
2024-09-30,0.79,$-0.89,0.0
2024-06-30,1.27,$-0.78,0.0
2024-03-31,1.39,$-0.81,0.0
2023-12-31,1.59,$-0.99,0.0
2023-09-30,1.42,$-1.06,0.0
2023-06-30,1.59,$-1.26,0.0
2023-03-31,0.84,$-1.62,0.0
2022-12-31,1.42,$-1.79,0.0
2022-09-30,1.93,$-1.90,0.0
2022-06-30,1.97,$-1.98,0.0
2022-03-31,3.17,$-2.01,0.0
2021-12-31,3.73,$-2.36,0.0
2021-09-30,6.75,$-7.30,0.0
