Heritage Insurance Holdings Price to Free Cash Flow Ratio Historical Data,Heritage Insurance Holdings Price to Free Cash Flow Ratio Historical Data,Heritage Insurance Holdings Price to Free Cash Flow Ratio Historical Data,Heritage Insurance Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.78,,5.36
2024-12-31,12.1,$2.57,4.7
2024-09-30,12.24,$8.19,1.49
2024-06-30,7.08,$6.61,1.07
2024-03-31,10.65,$1.95,5.46
2023-12-31,6.52,$2.31,2.83
2023-09-30,6.49,$-2.28,0.0
2023-06-30,3.85,$0.91,4.23
2023-03-31,3.08,$0.19,16.3
2022-12-31,1.8,$-1.77,0.0
2022-09-30,2.26,$-1.26,0.0
2022-06-30,2.64,$-3.51,0.0
2022-03-31,7.02,$-0.74,0.0
2021-12-31,5.73,$2.13,2.7
2021-09-30,6.57,$4.26,1.54
2021-06-30,8.2,$5.00,1.64
2021-03-31,10.52,$4.45,2.36
2020-12-31,9.57,$6.05,1.58
2020-09-30,9.5,$4.39,2.16
2020-06-30,12.22,$6.19,1.98
2020-03-31,9.95,$4.17,2.39
2019-12-31,12.24,$3.92,3.12
2019-09-30,13.75,$5.16,2.67
2019-06-30,14.12,$4.23,3.33
2019-03-31,13.32,$6.82,1.95
2018-12-31,13.38,$3.60,3.71
2018-09-30,13.41,$-1.24,0.0
2018-06-30,15.03,$0.93,16.21
2018-03-31,13.62,$-0.33,0.0
2017-12-31,16.13,$0.27,60.86
2017-09-30,11.78,$3.16,3.73
2017-06-30,11.56,$0.44,26.28
2017-03-31,11.29,$1.03,10.93
2016-12-31,13.79,$2.74,5.03
2016-09-30,12.63,$4.34,2.91
2016-06-30,10.45,$5.49,1.9
2016-03-31,13.87,$4.28,3.24
2015-12-31,18.9,$4.80,3.93
2015-09-30,17.05,$9.49,1.8
2015-06-30,19.86,$8.70,2.28
2015-03-31,19.02,$9.63,1.98
