Nanobiotix S.A Price to Free Cash Flow Ratio Historical Data,Nanobiotix S.A Price to Free Cash Flow Ratio Historical Data,Nanobiotix S.A Price to Free Cash Flow Ratio Historical Data,Nanobiotix S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.77,,inf
2023-12-31,7.28,0.0,0.0
2023-06-30,5.07,0.0,0.0
2022-12-31,3.67,0.0,0.0
2022-06-30,3.8,0.0,0.0
