Kearny Financial Price to Free Cash Flow Ratio Historical Data,Kearny Financial Price to Free Cash Flow Ratio Historical Data,Kearny Financial Price to Free Cash Flow Ratio Historical Data,Kearny Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.45,,19.27
2024-12-31,7.08,$0.33,21.15
2024-09-30,6.78,$0.50,13.47
2024-06-30,5.96,$0.68,8.73
2024-03-31,6.12,$0.76,8.02
2023-12-31,8.39,$0.82,10.29
2023-09-30,6.38,$1.00,6.37
2023-06-30,6.41,$1.11,5.8
2023-03-31,7.27,$1.24,5.86
2022-12-31,8.99,$1.34,6.68
2022-09-30,9.29,$1.35,6.9
2022-06-30,9.63,$1.11,8.65
2022-03-31,11.06,$0.99,11.21
2021-12-31,11.29,$0.94,12.03
2021-09-30,10.51,$0.92,11.42
2021-06-30,10.02,$0.91,11.04
2021-03-31,10.05,$0.60,16.85
2020-12-31,8.72,$0.23,37.58
2020-09-30,5.91,$0.10,56.42
2020-06-30,6.63,$0.17,39.74
2020-03-31,6.9,$0.28,24.96
2019-12-31,11.03,$0.41,26.75
2019-09-30,10.35,$0.36,28.65
2019-06-30,10.49,$0.36,29.0
2019-03-31,10.12,$0.50,20.41
2018-12-31,10.03,$0.50,19.9
2018-09-30,10.67,$0.50,21.29
2018-06-30,10.33,$0.45,23.19
2018-03-31,9.96,$0.48,20.67
2017-12-31,11.05,$0.45,24.32
2017-09-30,11.62,$0.44,26.29
2017-06-30,11.22,$0.41,27.53
2017-03-31,11.34,$0.41,27.6
2016-12-31,11.7,$0.36,32.81
2016-09-30,10.23,$0.39,25.94
2016-06-30,9.44,$0.41,22.86
2016-03-31,9.25,$0.20,45.28
2015-12-31,9.48,$0.29,32.29
2015-09-30,8.56,$0.19,44.33
2015-06-30,8.32,$0.20,41.3
2015-03-31,10.12,$0.37,27.37
2014-12-31,10.25,$0.23,43.91
2014-09-30,9.94,$0.24,40.84
2014-06-30,11.28,$0.25,45.69
2014-03-31,11.02,$0.20,55.0
2013-12-31,8.67,$0.29,30.05
2013-09-30,7.62,$0.30,24.98
2013-06-30,7.82,$0.32,24.53
2013-03-31,7.6,$0.35,21.43
2012-12-31,7.27,$0.34,21.09
2012-09-30,7.26,$0.34,21.25
2012-06-30,7.22,$0.39,18.64
2012-03-31,7.27,$0.40,17.95
2011-12-31,7.05,$0.40,17.76
2011-09-30,6.52,$0.36,17.88
2011-06-30,6.68,$0.29,22.8
2011-03-31,7.32,$0.22,33.92
2010-12-31,6.24,$0.18,34.86
2010-09-30,6.37,$0.15,42.18
2010-06-30,6.57,$0.12,53.76
2010-03-31,7.45,$0.12,63.58
2009-12-31,7.15,$0.19,36.95
