Biomea Fusion Price to Free Cash Flow Ratio Historical Data,Biomea Fusion Price to Free Cash Flow Ratio Historical Data,Biomea Fusion Price to Free Cash Flow Ratio Historical Data,Biomea Fusion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.77,,0.0
2024-09-30,10.1,$-3.26,0.0
2024-06-30,4.5,$-3.22,0.0
2024-03-31,14.95,$-2.91,0.0
2023-12-31,14.52,$-2.93,0.0
2023-09-30,13.76,$-2.88,0.0
2023-06-30,21.95,$-2.79,0.0
2023-03-31,31.01,$-2.73,0.0
2022-12-31,8.43,$-2.17,0.0
2022-09-30,9.78,$-2.30,0.0
2022-06-30,11.98,$-2.05,0.0
2022-03-31,4.46,$-1.96,0.0
