IRIDEX Price to Free Cash Flow Ratio Historical Data,IRIDEX Price to Free Cash Flow Ratio Historical Data,IRIDEX Price to Free Cash Flow Ratio Historical Data,IRIDEX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.79,,0.0
2024-09-30,1.75,$-0.43,0.0
2024-06-30,2.16,$-0.36,0.0
2024-03-31,2.98,$-0.35,0.0
2023-12-31,2.81,$-0.43,0.0
2023-09-30,2.54,$-0.47,0.0
2023-06-30,2.17,$-0.49,0.0
2023-03-31,2.03,$-0.59,0.0
2022-12-31,2.01,$-0.62,0.0
2022-09-30,2.41,$-0.61,0.0
2022-06-30,2.57,$-0.50,0.0
2022-03-31,4.63,$-0.51,0.0
2021-12-31,6.11,$0.52,11.77
2021-09-30,7.66,$0.60,12.73
2021-06-30,7.06,$0.66,10.75
2021-03-31,6.75,$0.69,9.79
2020-12-31,2.51,$-0.24,0.0
2020-09-30,1.96,$-0.24,0.0
2020-06-30,2.12,$-0.46,0.0
2020-03-31,1.59,$-0.41,0.0
2019-12-31,2.23,$-0.59,0.0
2019-09-30,1.85,$-0.73,0.0
2019-06-30,4.55,$-0.78,0.0
2019-03-31,4.56,$-0.88,0.0
2018-12-31,4.7,$-0.86,0.0
2018-09-30,6.35,$-0.79,0.0
2018-06-30,6.96,$-0.72,0.0
2018-03-31,5.72,$-0.45,0.0
2017-12-31,7.62,$-0.36,0.0
2017-09-30,9.37,$-0.33,0.0
2017-06-30,9.89,$-0.37,0.0
2017-03-31,11.87,$-0.33,0.0
2016-12-31,14.06,$-0.12,0.0
2016-09-30,14.49,$-0.10,0.0
2016-06-30,14.79,$0.02,732.18
2016-03-31,10.22,$-0.12,0.0
2015-12-31,9.29,$-0.14,0.0
2015-09-30,7.61,$0.01,644.92
2015-06-30,8.25,$0.21,39.49
2015-03-31,10.68,$0.30,35.19
2014-12-31,8.6,$0.33,25.85
2014-09-30,7.0,$0.14,49.47
2014-06-30,8.31,$0.08,100.73
2014-03-31,8.93,$0.13,67.35
2013-12-31,10.17,$0.04,265.54
2013-09-30,5.93,$0.14,40.98
2013-06-30,5.91,$0.08,73.33
2013-03-31,4.45,$-0.06,0.0
2012-12-31,3.9,$-0.17,0.0
2012-09-30,3.7,$-0.06,0.0
2012-06-30,4.17,$0.06,69.5
2012-03-31,4.41,$0.12,36.03
2011-12-31,3.74,$0.20,18.67
2011-09-30,3.7,$0.01,296.0
2011-06-30,4.01,$-0.09,0.0
2011-03-31,4.55,$-0.03,0.0
2010-12-31,3.92,$0.09,42.11
2010-09-30,3.45,$-0.10,0.0
2010-06-30,3.68,$0.13,28.26
2010-03-31,4.3,$0.25,17.33
2009-12-31,3.07,$0.28,10.83
