Old Market Capital Price to Free Cash Flow Ratio Historical Data,Old Market Capital Price to Free Cash Flow Ratio Historical Data,Old Market Capital Price to Free Cash Flow Ratio Historical Data,Old Market Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.39,,0.0
2024-12-31,6.42,$-0.98,0.0
2024-09-30,6.35,$-0.62,0.0
2024-06-30,6.57,$-0.03,0.0
2024-03-31,6.76,$0.25,27.14
2023-12-31,6.9,$0.06,107.48
2023-09-30,4.78,$0.03,190.44
2023-06-30,5.0,$0.05,107.99
2023-03-31,6.15,$-0.29,0.0
2022-12-31,6.3,$-0.04,0.0
2022-09-30,5.69,$0.05,110.06
2022-06-30,9.32,$0.03,346.47
2022-03-31,10.25,$0.29,35.75
2021-12-31,11.79,$0.90,13.09
2021-09-30,12.29,$0.98,12.5
2021-06-30,11.2,$1.50,7.45
2021-03-31,10.57,$1.81,5.84
2020-12-31,8.38,$1.74,4.8
2020-09-30,7.27,$2.01,3.61
2020-06-30,7.4,$1.55,4.78
2020-03-31,5.84,$1.35,4.33
2019-12-31,8.24,$0.79,10.47
2019-09-30,9.01,$0.95,9.51
2019-06-30,9.4,$1.31,7.2
2019-03-31,9.0,$1.77,5.09
2018-12-31,10.4,$2.36,4.41
2018-09-30,11.81,$2.65,4.45
2018-06-30,9.2,$3.01,3.05
2018-03-31,9.07,$3.21,2.83
2017-12-31,8.8,$3.06,2.88
2017-09-30,8.67,$3.59,2.41
2017-06-30,9.2,$3.23,2.85
2017-03-31,10.63,$3.44,3.09
2016-12-31,11.89,$3.49,3.41
2016-09-30,10.23,$2.83,3.61
2016-06-30,10.28,$2.74,3.75
2016-03-31,10.79,$2.77,3.9
2015-12-31,11.65,$2.72,4.28
2015-09-30,12.98,$2.53,5.13
2015-06-30,12.72,$2.52,5.06
2015-03-31,14.01,$1.98,7.08
2014-12-31,14.9,$1.83,8.16
2014-09-30,11.59,$1.74,6.67
2014-06-30,14.36,$1.64,8.75
2014-03-31,15.73,$1.70,9.24
2013-12-31,15.74,$1.99,7.91
2013-09-30,16.29,$1.91,8.54
2013-06-30,15.01,$1.97,7.62
2013-03-31,14.48,$2.08,6.97
2012-12-31,12.1,$1.89,6.39
2012-09-30,10.75,$2.02,5.33
2012-06-30,10.58,$1.90,5.58
2012-03-31,10.8,$1.80,6.01
2011-12-31,10.42,$1.74,6.0
2011-09-30,7.88,$1.72,4.57
2011-06-30,9.48,$1.73,5.48
2011-03-31,9.74,$1.77,5.51
2010-12-31,8.17,$1.81,4.51
2010-09-30,7.34,$1.81,4.05
2010-06-30,6.57,$1.86,3.54
2010-03-31,6.04,$1.81,3.34
2009-12-31,5.5,$3.15,1.75
