SPX Technologies Price to Free Cash Flow Ratio Historical Data,SPX Technologies Price to Free Cash Flow Ratio Historical Data,SPX Technologies Price to Free Cash Flow Ratio Historical Data,SPX Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,135.57,,25.38
2024-12-31,145.52,$5.34,27.24
2024-09-30,159.46,$4.49,35.52
2024-06-30,142.14,$3.71,38.33
2024-03-31,123.13,$4.15,29.64
2023-12-31,101.01,$3.96,25.5
2023-09-30,81.4,$0.71,114.74
2023-06-30,84.97,$0.17,488.9
2023-03-31,70.58,$-2.21,0.0
2022-12-31,65.65,$-3.30,0.0
2022-09-30,55.22,$-2.20,0.0
2022-06-30,52.84,$-0.27,0.0
2022-03-31,49.41,$1.02,48.45
2021-12-31,59.68,$3.55,16.82
2021-09-30,53.45,$4.60,11.61
2021-06-30,61.08,$3.64,16.8
2021-03-31,58.27,$3.77,15.47
2020-12-31,54.54,$2.43,22.49
2020-09-30,46.38,$2.54,18.29
2020-06-30,41.15,$2.82,14.57
2020-03-31,32.64,$2.64,12.36
2019-12-31,50.88,$3.01,16.93
2019-09-30,40.01,$3.41,11.74
2019-06-30,33.02,$2.68,12.34
2019-03-31,34.79,$2.61,13.34
2018-12-31,28.01,$2.31,12.12
2018-09-30,33.31,$1.55,21.47
2018-06-30,35.05,$1.51,23.19
2018-03-31,32.48,$0.81,40.15
2017-12-31,31.39,$0.82,38.39
2017-09-30,29.34,$-0.58,0.0
2017-06-30,25.16,$0.25,102.03
2017-03-31,24.25,$1.22,19.87
2016-12-31,23.72,$-0.31,0.0
2016-09-30,20.14,$1.66,12.13
2016-06-30,14.85,$0.26,57.07
2016-03-31,15.02,$-0.11,0.0
2015-12-31,9.33,$-1.32,0.0
2015-09-30,11.92,$-13.58,0.0
2015-06-30,18.26,$-11.59,0.0
2015-03-31,21.3,$0.25,86.0
2014-12-31,21.46,$1.41,15.24
2014-09-30,23.36,$17.92,1.3
2014-06-30,26.81,$19.48,1.38
2014-03-31,24.27,$1.81,13.41
2013-12-31,24.5,$1.60,15.27
2013-09-30,20.77,$-0.50,0.0
2013-06-30,17.61,$-2.67,0.0
2013-03-31,19.25,$2.98,6.45
2012-12-31,17.05,$-0.24,0.0
2012-09-30,15.84,$-1.66,0.0
2012-06-30,15.76,$-0.92,0.0
2012-03-31,18.64,$-0.53,0.0
2011-12-31,14.44,$3.48,4.15
2011-09-30,10.81,$4.49,2.41
2011-06-30,19.63,$3.03,6.48
2011-03-31,18.79,$3.39,5.54
2010-12-31,16.86,$3.63,4.65
2010-09-30,14.87,$4.08,3.65
2010-06-30,12.36,$7.86,1.57
2010-03-31,15.46,$8.04,1.92
2009-12-31,12.7,$7.73,1.64
