Digital Realty Trust Price to Free Cash Flow Ratio Historical Data,Digital Realty Trust Price to Free Cash Flow Ratio Historical Data,Digital Realty Trust Price to Free Cash Flow Ratio Historical Data,Digital Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,151.41,,12.7
2024-12-31,177.33,$11.92,14.87
2024-09-30,160.77,$9.94,16.17
2024-06-30,149.9,$16.96,8.84
2024-03-31,140.86,$15.98,8.81
2023-12-31,130.49,$13.50,9.67
2023-09-30,116.28,$13.31,8.73
2023-06-30,108.38,$6.75,16.05
2023-03-31,92.5,$6.54,14.15
2022-12-31,93.27,$6.36,14.67
2022-09-30,91.19,$9.79,9.32
2022-06-30,118.13,$9.23,12.8
2022-03-31,127.77,$9.36,13.65
2021-12-31,157.92,$11.98,13.18
2021-09-30,128.08,$9.20,13.93
2021-06-30,132.42,$9.58,13.82
2021-03-31,123.07,$8.89,13.84
2020-12-31,120.86,$8.65,13.97
2020-09-30,126.04,$8.68,14.52
2020-06-30,121.11,$8.14,14.89
2020-03-31,117.41,$8.94,13.13
2019-12-31,100.34,$7.23,13.88
2019-09-30,107.76,$7.21,14.94
2019-06-30,96.95,$7.92,12.24
2019-03-31,97.07,$7.91,12.27
2018-12-31,86.11,$8.09,10.65
2018-09-30,90.11,$5.94,15.17
2018-06-30,88.66,$4.82,18.38
2018-03-31,82.95,$4.52,18.37
2017-12-31,88.8,$3.98,22.29
2017-09-30,91.52,$5.74,15.94
2017-06-30,86.69,$2.72,31.9
2017-03-31,81.0,$2.46,32.94
2016-12-31,74.14,$2.64,28.12
2016-09-30,72.62,$2.22,32.64
2016-06-30,80.73,$5.67,14.25
2016-03-31,64.98,$6.48,10.03
2015-12-31,54.96,$6.36,8.64
2015-09-30,46.91,$6.33,7.42
2015-06-30,47.23,$5.98,7.9
2015-03-31,46.12,$5.45,8.47
2014-12-31,45.76,$5.01,9.13
2014-09-30,42.52,$5.26,8.08
2014-06-30,39.26,$5.30,7.4
2014-03-31,35.22,$4.70,7.5
2013-12-31,32.09,$3.88,8.27
2013-09-30,34.1,$2.37,14.38
2013-06-30,38.62,$-7.64,0.0
2013-03-31,41.81,$-8.17,0.0
2012-12-31,41.94,$-8.78,0.0
2012-09-30,42.68,$-8.69,0.0
2012-06-30,45.41,$0.40,114.83
2012-03-31,44.3,$0.86,51.47
2011-12-31,39.53,$2.06,19.18
2011-09-30,32.36,$1.09,29.81
2011-06-30,35.81,$-5.95,0.0
2011-03-31,33.33,$-6.54,0.0
2010-12-31,29.2,$-11.16,0.0
2010-09-30,34.61,$-10.86,0.0
2010-06-30,32.08,$-3.19,0.0
2010-03-31,29.91,$-2.60,0.0
2009-12-31,27.51,$1.89,14.53
