International Game Technology Price to Free Cash Flow Ratio Historical Data,International Game Technology Price to Free Cash Flow Ratio Historical Data,International Game Technology Price to Free Cash Flow Ratio Historical Data,International Game Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.13,,3.97
2024-12-31,17.66,$4.32,4.09
2024-09-30,21.08,$4.82,4.37
2024-06-30,20.06,$5.02,4.0
2024-03-31,22.15,$3.50,6.33
2023-12-31,26.63,$4.40,6.05
2023-09-30,29.24,$3.60,8.12
2023-06-30,30.56,$2.58,11.85
2023-03-31,25.48,$3.48,7.31
2022-12-31,21.37,$2.98,7.18
2022-09-30,14.77,$3.63,4.07
2022-06-30,17.19,$3.07,5.59
2022-03-31,22.64,$3.41,6.64
2021-12-31,26.27,$3.68,7.14
2021-09-30,23.75,$3.09,7.68
2021-06-30,21.62,$3.85,5.61
2021-03-31,14.48,$3.48,4.16
2020-12-31,15.28,$3.03,5.05
2020-09-30,10.04,$3.40,2.96
2020-06-30,8.03,$2.95,2.72
2020-03-31,5.37,$4.35,1.23
2019-12-31,13.02,$4.11,3.17
2019-09-30,12.19,$0.92,13.24
2019-06-30,10.94,$0.36,30.29
2019-03-31,10.79,$-1.96,0.0
2018-12-31,11.97,$-2.37,0.0
2018-09-30,15.95,$0.02,857.73
2018-06-30,18.59,$-0.57,0.0
2018-03-31,21.21,$-1.01,0.0
2017-12-31,20.89,$0.65,31.95
2017-09-30,19.21,$-1.82,0.0
2017-06-30,14.18,$-1.55,0.0
2017-03-31,18.16,$0.32,56.02
2016-12-31,19.39,$-0.37,0.0
2016-09-30,18.38,$3.68,5.0
2016-06-30,13.99,$4.66,3.01
2016-03-31,13.49,$3.99,3.38
2015-12-31,11.83,$3.19,3.71
2015-09-30,11.06,$2.58,4.29
2015-06-30,12.66,$2.73,4.64
2015-03-31,12.41,$4.13,3.01
2014-12-31,12.3,$4.23,2.91
2014-09-30,12.02,$2.68,4.49
