Curis Price to Free Cash Flow Ratio Historical Data,Curis Price to Free Cash Flow Ratio Historical Data,Curis Price to Free Cash Flow Ratio Historical Data,Curis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.75,,0.0
2024-09-30,5.39,$-7.42,0.0
2024-06-30,6.9,$-7.30,0.0
2024-03-31,10.87,$-7.02,0.0
2023-12-31,12.75,$-7.26,0.0
2023-09-30,6.59,$-7.60,0.0
2023-06-30,16.6,$-9.48,0.0
2023-03-31,11.92,$-10.58,0.0
2022-12-31,11.0,$-11.72,0.0
2022-09-30,14.0,$-10.85,0.0
2022-06-30,19.69,$-10.28,0.0
2022-03-31,47.6,$-9.01,0.0
2021-12-31,95.2,$-8.22,0.0
2021-09-30,156.6,$-9.70,0.0
2021-06-30,161.4,$-7.78,0.0
2021-03-31,226.4,$-8.36,0.0
2020-12-31,163.8,$-10.86,0.0
2020-09-30,23.4,$-10.97,0.0
2020-06-30,24.2,$-14.82,0.0
2020-03-31,14.08,$-16.83,0.0
2019-12-31,34.0,$-15.82,0.0
2019-09-30,44.8,$-15.44,0.0
2019-06-30,37.2,$-16.37,0.0
2019-03-31,39.8,$-16.50,0.0
2018-12-31,13.8,$-18.21,0.0
2018-09-30,35.6,$-19.77,0.0
2018-06-30,34.6,$-25.76,0.0
2018-03-31,65.33,$-27.92,0.0
2017-12-31,70.0,$-32.55,0.0
2017-09-30,149.0,$-34.99,0.0
2017-06-30,189.0,$-29.48,0.0
2017-03-31,278.0,$-31.72,0.0
2016-12-31,308.0,$-27.22,0.0
2016-09-30,261.0,$-29.62,0.0
2016-06-30,156.0,$-27.68,0.0
2016-03-31,161.0,$-23.24,0.0
2015-12-31,291.0,$-24.25,0.0
2015-09-30,202.0,$-20.34,0.0
2015-06-30,331.0,$-19.26,0.0
2015-03-31,240.0,$-20.69,0.0
2014-12-31,150.0,$-19.66,0.0
2014-09-30,141.0,$-20.89,0.0
2014-06-30,186.0,$-18.17,0.0
2014-03-31,282.0,$-12.50,0.0
2013-12-31,282.0,$-11.77,0.0
2013-09-30,446.0,$-22.02,0.0
2013-06-30,319.0,$-27.60,0.0
2013-03-31,328.0,$-29.51,0.0
2012-12-31,343.0,$-19.35,0.0
2012-09-30,414.0,$8.96,46.2
2012-06-30,540.0,$8.51,63.43
2012-03-31,482.0,$4.61,104.55
2011-12-31,468.0,$-6.22,0.0
2011-09-30,316.0,$-22.60,0.0
2011-06-30,358.0,$-18.05,0.0
2011-03-31,325.0,$-17.52,0.0
2010-12-31,198.0,$-2.41,0.0
2010-09-30,137.0,$-2.31,0.0
2010-06-30,139.0,$-4.63,0.0
2010-03-31,307.0,$-4.44,0.0
2009-12-31,325.0,$-11.69,0.0
