Cytek Biosciences Price to Free Cash Flow Ratio Historical Data,Cytek Biosciences Price to Free Cash Flow Ratio Historical Data,Cytek Biosciences Price to Free Cash Flow Ratio Historical Data,Cytek Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.06,,23.95
2024-12-31,6.49,$0.17,38.29
2024-09-30,5.54,$0.22,25.66
2024-06-30,5.58,$0.08,66.75
2024-03-31,6.71,$0.01,508.33
2023-12-31,9.12,$0.00,0.0
2023-09-30,5.52,$-0.06,0.0
2023-06-30,8.54,$-0.08,0.0
2023-03-31,9.19,$-0.12,0.0
2022-12-31,10.21,$-0.16,0.0
2022-09-30,14.72,$-0.12,0.0
2022-06-30,10.73,$-0.09,0.0
