ESAB Price to Free Cash Flow Ratio Historical Data,ESAB Price to Free Cash Flow Ratio Historical Data,ESAB Price to Free Cash Flow Ratio Historical Data,ESAB Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,120.38,,23.93
2024-12-31,119.94,$5.03,23.84
2024-09-30,106.31,$5.05,21.06
2024-06-30,94.43,$5.14,18.36
2024-03-31,110.57,$4.83,22.89
2023-12-31,86.62,$4.73,18.31
2023-09-30,70.22,$4.26,16.48
2023-06-30,66.54,$3.84,17.33
2023-03-31,59.07,$3.49,16.93
