Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data,Kroger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,64.72,,18.84
2024-10-31,55.46,$3.44,16.15
2024-07-31,53.88,$2.83,19.01
2024-04-30,54.46,$3.31,16.43
2024-01-31,45.09,$4.12,10.95
2023-10-31,44.05,$3.31,13.31
2023-07-31,46.94,$4.11,11.42
2023-04-30,46.68,$4.20,11.11
2023-01-31,42.59,$2.06,20.67
2022-10-31,44.88,$2.65,16.96
2022-07-31,43.83,$3.84,11.41
2022-04-30,50.73,$3.55,14.28
2022-01-31,40.79,$4.95,8.25
2021-10-31,37.27,$4.11,9.07
2021-07-31,37.72,$2.58,14.61
2021-04-30,33.7,$2.62,12.85
2021-01-31,31.64,$5.27,6.01
2020-10-31,29.38,$4.88,6.01
2020-07-31,31.57,$5.05,6.25
2020-04-30,28.54,$4.95,5.77
2020-01-31,24.12,$2.25,10.73
2019-10-31,21.99,$2.05,10.73
2019-07-31,18.89,$1.70,11.14
2019-04-30,22.89,$1.45,15.76
2019-01-31,25.03,$1.57,15.97
2018-10-31,26.17,$1.58,16.54
2018-07-31,24.99,$1.01,24.74
2018-04-30,21.6,$1.08,20.06
2018-01-31,25.92,$0.82,31.58
2017-10-31,17.57,$1.33,13.26
2017-07-31,20.71,$1.70,12.18
2017-04-30,24.94,$1.34,18.59
2017-01-31,28.46,$0.74,38.68
2016-10-31,25.87,$0.84,30.73
2016-07-31,28.44,$1.59,17.89
2016-04-30,29.35,$1.85,15.88
2016-01-31,32.1,$1.65,19.5
2015-10-31,31.18,$1.45,21.54
2015-07-31,32.27,$1.33,24.23
2015-04-30,28.26,$1.31,21.57
2015-01-31,28.25,$1.43,19.74
2014-10-31,22.72,$1.48,15.37
2014-07-31,19.91,$1.06,18.86
2014-04-30,18.65,$1.27,14.71
2014-01-31,14.56,$1.22,11.95
2013-10-31,17.21,$1.19,14.45
2013-07-31,15.71,$1.34,11.74
2013-04-30,13.7,$1.16,11.83
2013-01-31,10.98,$0.88,12.53
2012-10-31,9.93,$0.58,17.28
2012-07-31,8.69,$0.61,14.26
2012-04-30,9.07,$0.78,11.59
2012-01-31,9.22,$0.68,13.48
2011-10-31,8.95,$1.17,7.64
2011-07-31,9.56,$1.16,8.26
2011-04-30,9.3,$0.97,9.56
2011-01-31,8.15,$1.18,6.93
2010-10-31,8.34,$0.92,9.07
2010-07-31,8.0,$0.84,9.54
2010-04-30,8.36,$0.78,10.71
2010-01-31,8.02,$0.50,16.16
2009-10-31,8.62,$1.09,7.91
