REE Automotive Price to Free Cash Flow Ratio Historical Data,REE Automotive Price to Free Cash Flow Ratio Historical Data,REE Automotive Price to Free Cash Flow Ratio Historical Data,REE Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.0,,0.0
2024-09-30,7.06,$-6.17,0.0
2024-06-30,3.92,$-7.43,0.0
2024-03-31,5.84,$-8.44,0.0
2023-12-31,5.14,$-9.22,0.0
2023-09-30,0.15,$-9.94,0.0
2023-06-30,0.38,$-10.21,0.0
2023-03-31,0.33,$-11.44,0.0
2022-12-31,0.39,$-12.64,0.0
2022-09-30,0.68,$-12.63,0.0
2022-06-30,1.16,$-12.41,0.0
2022-03-31,1.9,$-10.81,0.0
2021-12-31,5.55,$-7.85,0.0
