CNS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,CNS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,CNS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,CNS Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.62,,0.03
2024-09-30,0.13,$108.30,0.0
2024-06-30,1.58,$-541.35,0.0
2024-03-31,18.1,$-917.11,0.0
2023-12-31,63.5,$-3.76,0.0
2023-09-30,57.0,$-139.87,0.0
2023-06-30,111.5,$-107.57,0.0
2023-03-31,50.0,$-7.92,0.0
2022-12-31,120.0,$-7.76,0.0
2022-09-30,268.5,"$2,794.88",0.1
2022-06-30,420.0,"$2,430.43",0.17
2022-03-31,511.5,$989.33,0.52
2021-12-31,1053.6,$-15.44,0.0
2021-09-30,2235.0,"$-3,447.93",0.0
2021-06-30,2940.0,"$-3,657.34",0.0
2021-03-31,3585.0,"$-3,469.54",0.0
2020-12-31,2670.0,"$-3,311.18",0.0
2020-09-30,2640.0,"$-2,680.03",0.0
