Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data,Hershey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,164.47,,17.38
2024-12-31,169.35,$9.46,17.9
2024-09-30,190.25,$8.11,23.45
2024-06-30,181.08,$6.77,26.76
2024-03-31,190.34,$6.47,29.4
2023-12-31,181.15,$7.55,23.99
2023-09-30,194.4,$7.88,24.66
2023-06-30,241.29,$8.03,30.06
2023-03-31,244.89,$9.08,26.97
2022-12-31,221.93,$8.75,25.35
2022-09-30,210.31,$8.36,25.14
2022-06-30,204.33,$8.06,25.34
2022-03-31,204.82,$7.75,26.42
2021-12-31,182.11,$7.64,23.84
2021-09-30,158.52,$7.26,21.84
2021-06-30,162.33,$7.76,20.91
2021-03-31,146.72,$7.68,19.1
2020-12-31,140.57,$6.01,23.4
2020-09-30,131.57,$7.12,18.48
2020-06-30,118.33,$6.52,18.14
2020-03-31,120.23,$6.43,18.69
2019-12-31,132.73,$6.86,19.34
2019-09-30,139.23,$6.53,21.33
2019-06-30,119.82,$6.35,18.86
2019-03-31,102.09,$6.01,16.98
2018-12-31,94.67,$6.26,15.12
2018-09-30,89.49,$5.75,15.57
2018-06-30,81.05,$5.80,13.98
2018-03-31,85.58,$5.11,16.74
2017-12-31,97.5,$4.68,20.85
2017-09-30,93.21,$4.39,21.24
2017-06-30,91.12,$3.40,26.76
2017-03-31,92.21,$3.36,27.48
2016-12-31,86.8,$3.47,25.0
2016-09-30,79.73,$3.78,21.09
2016-06-30,94.13,$3.80,24.78
2016-03-31,75.89,$4.26,17.83
2015-12-31,73.1,$4.08,17.91
2015-09-30,74.72,$3.05,24.53
2015-06-30,71.78,$3.54,20.3
2015-03-31,81.08,$2.45,33.13
2014-12-31,83.08,$2.11,39.31
2014-09-30,75.87,$2.65,28.59
2014-06-30,76.96,$2.96,25.98
2014-03-31,82.11,$3.44,23.88
2013-12-31,76.13,$3.77,20.21
2013-09-30,72.06,$3.67,19.62
2013-06-30,69.19,$3.76,18.4
2013-03-31,67.52,$3.65,18.49
2012-12-31,55.42,$3.58,15.48
2012-09-30,54.08,$2.80,19.33
2012-06-30,54.67,$1.31,41.75
2012-03-31,46.28,$1.51,30.59
2011-12-31,46.33,$1.05,44.27
2011-09-30,44.16,$1.86,23.78
2011-06-30,42.12,$2.68,15.69
2011-03-31,40.02,$2.75,14.54
2010-12-31,34.48,$3.05,11.31
2010-09-30,34.57,$2.90,11.94
2010-06-30,34.58,$3.25,10.64
2010-03-31,30.68,$3.65,8.41
2009-12-31,25.44,$4.06,6.26
