Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data,Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data,Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data,Omega Healthcare Investors Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.61,,43.45
2024-12-31,37.85,$0.87,43.73
2024-09-30,40.03,$1.11,36.1
2024-06-30,33.09,$1.27,26.13
2024-03-31,29.94,$1.20,24.91
2023-12-31,28.32,$1.09,26.0
2023-09-30,30.01,$0.94,31.79
2023-06-30,27.19,$-0.48,0.0
2023-03-31,23.69,$0.39,60.79
2022-12-31,23.61,$1.36,17.41
2022-09-30,24.4,$1.71,14.29
2022-06-30,22.83,$3.16,7.22
2022-03-31,24.59,$3.01,8.17
2021-12-31,22.79,$-0.14,0.0
2021-09-30,22.55,$-0.27,0.0
2021-06-30,26.81,$0.06,464.72
2021-03-31,26.6,$-0.11,0.0
2020-12-31,25.9,$2.11,12.27
2020-09-30,20.87,$0.57,36.69
2020-06-30,20.3,$0.15,133.55
2020-03-31,17.72,$0.02,995.54
2019-12-31,27.83,$-0.08,0.0
2019-09-30,27.05,$1.30,20.84
2019-06-30,23.37,$1.44,16.18
2019-03-31,23.81,$1.29,18.41
2018-12-31,21.58,$1.07,20.11
2018-09-30,19.72,$1.39,14.16
2018-06-30,18.25,$0.56,32.31
2018-03-31,15.52,$0.22,70.01
2017-12-31,15.42,$0.51,30.14
2017-09-30,17.5,$0.57,30.87
2017-06-30,17.74,$0.07,262.47
2017-03-31,17.4,$-0.22,0.0
2016-12-31,16.18,$-2.20,0.0
2016-09-30,17.99,$-2.37,0.0
2016-06-30,16.93,$-2.04,0.0
2016-03-31,17.31,$-2.42,0.0
2015-12-31,16.85,$-0.20,0.0
2015-09-30,16.67,$-0.74,0.0
2015-06-30,16.03,$0.31,51.09
2015-03-31,18.86,$1.55,12.17
2014-12-31,17.79,$1.48,12.05
2014-09-30,15.36,$2.04,7.53
2014-06-30,16.33,$2.01,8.12
2014-03-31,14.65,$1.96,7.48
2013-12-31,12.82,$1.83,7.01
2013-09-30,12.67,$0.20,63.76
2013-06-30,12.97,$-1.63,0.0
2013-03-31,12.51,$-1.96,0.0
2012-12-31,9.66,$-2.02,0.0
2012-09-30,9.04,$-1.38,0.0
2012-06-30,8.79,$0.45,19.62
2012-03-31,8.15,$0.66,12.35
2011-12-31,7.27,$0.62,11.71
2011-09-30,5.86,$1.47,3.98
2011-06-30,7.57,$1.48,5.11
2011-03-31,7.93,$-2.34,0.0
2010-12-31,7.83,$-2.35,0.0
2010-09-30,7.71,$-4.31,0.0
2010-06-30,6.73,$-4.47,0.0
2010-03-31,6.48,$-0.60,0.0
2009-12-31,6.36,$-0.42,0.0
