Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data,Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data,Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data,Seacoast Banking Of Florida Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.08,,12.61
2024-12-31,27.53,$2.07,13.31
2024-09-30,26.49,$1.91,13.88
2024-06-30,23.34,$2.01,11.58
2024-03-31,24.87,$1.85,13.41
2023-12-31,27.66,$1.66,16.62
2023-09-30,21.21,$1.96,10.83
2023-06-30,21.18,$1.88,11.27
2023-03-31,22.54,$2.07,10.89
2022-12-31,29.46,$2.85,10.33
2022-09-30,28.39,$3.06,9.29
2022-06-30,30.86,$2.75,11.21
2022-03-31,32.54,$2.69,12.09
2021-12-31,32.77,$2.66,12.34
2021-09-30,31.18,$2.57,12.12
2021-06-30,31.36,$1.99,15.76
2021-03-31,33.16,$1.47,22.57
2020-12-31,26.94,$1.10,24.6
2020-09-30,16.5,$1.12,14.74
2020-06-30,18.66,$1.85,10.11
2020-03-31,16.75,$2.31,7.26
2019-12-31,27.97,$2.21,12.63
2019-09-30,23.16,$2.29,10.11
2019-06-30,23.28,$2.27,10.27
2019-03-31,24.11,$2.29,10.53
2018-12-31,23.81,$2.58,9.24
2018-09-30,26.72,$1.68,15.9
2018-06-30,28.89,$1.70,17.02
2018-03-31,24.22,$1.27,19.06
2017-12-31,23.07,$1.00,23.15
2017-09-30,21.86,$1.52,14.35
2017-06-30,22.05,$1.42,15.49
2017-03-31,21.94,$1.46,15.01
2016-12-31,20.18,$1.49,13.53
2016-09-30,14.72,$1.04,14.17
2016-06-30,14.86,$1.03,14.46
2016-03-31,14.45,$1.05,13.82
2015-12-31,13.71,$0.61,22.65
2015-09-30,13.43,$0.96,13.94
2015-06-30,14.46,$0.71,20.39
2015-03-31,13.06,$0.37,35.56
2014-12-31,12.58,$0.57,21.98
2014-09-30,10.0,$0.26,38.73
2014-06-30,9.95,$1.11,9.0
2014-03-31,10.06,$1.73,5.81
2013-12-31,11.16,$2.39,4.66
2013-09-30,9.93,$2.01,4.93
2013-06-30,10.06,$0.92,10.92
2013-03-31,9.56,$0.46,20.76
2012-12-31,7.37,$-0.31,0.0
2012-09-30,7.27,$0.21,35.29
2012-06-30,6.82,$0.24,28.25
2012-03-31,8.05,$0.58,13.92
2011-12-31,6.95,$1.21,5.75
2011-09-30,6.72,$1.42,4.73
2011-06-30,6.86,$0.27,24.99
2011-03-31,7.23,$0.13,54.51
2010-12-31,6.68,$2.75,2.43
2010-09-30,5.58,$1.03,5.4
2010-06-30,6.08,$4.86,1.25
2010-03-31,7.73,$4.59,1.68
2009-12-31,7.46,$0.34,21.83
