Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data,Southern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,89.97,,82.49
2024-12-31,82.32,$1.09,75.47
2024-09-30,89.45,$0.95,93.68
2024-06-30,76.31,$-0.05,0.0
2024-03-31,69.94,$-0.85,0.0
2023-12-31,67.65,$-1.26,0.0
2023-09-30,61.82,$-1.51,0.0
2023-06-30,66.42,$-2.49,0.0
2023-03-31,65.16,$-2.31,0.0
2022-12-31,66.2,$-1.25,0.0
2022-09-30,62.39,$-0.82,0.0
2022-06-30,64.86,$0.41,157.97
2022-03-31,65.35,$0.19,347.98
2021-12-31,61.18,$-0.47,0.0
2021-09-30,54.7,$-0.56,0.0
2021-06-30,52.87,$-0.81,0.0
2021-03-31,53.77,$-0.50,0.0
2020-12-31,52.58,$0.21,251.1
2020-09-30,45.95,$-0.29,0.0
2020-06-30,43.42,$-0.06,0.0
2020-03-31,44.79,$0.13,344.3
2019-12-31,52.23,$3.18,16.44
2019-09-30,50.15,$3.62,13.86
2019-06-30,44.4,$5.75,7.72
2019-03-31,41.04,$5.33,7.7
2018-12-31,34.45,$1.85,18.58
2018-09-30,33.77,$1.49,22.62
2018-06-30,35.41,$-0.40,0.0
2018-03-31,33.68,$-0.53,0.0
2017-12-31,35.79,$-0.92,0.0
2017-09-30,36.16,$-1.45,0.0
2017-06-30,34.81,$-1.66,0.0
2017-03-31,35.78,$-1.96,0.0
2016-12-31,34.95,$-2.51,0.0
2016-09-30,36.02,$-2.08,0.0
2016-06-30,37.26,$-0.63,0.0
2016-03-31,35.54,$-0.22,0.0
2015-12-31,31.79,$0.66,48.43
2015-09-30,30.0,$1.52,19.79
2015-06-30,27.79,$1.18,23.58
2015-03-31,29.01,$0.52,56.15
2014-12-31,31.81,$0.63,50.38
2014-09-30,27.96,$1.10,25.51
2014-06-30,28.72,$0.77,37.44
2014-03-31,27.49,$1.16,23.72
2013-12-31,25.4,$0.72,35.3
2013-09-30,25.14,$0.04,592.83
2013-06-30,26.63,$0.04,626.64
2013-03-31,28.01,$0.33,84.48
2012-12-31,25.28,$0.10,249.56
2012-09-30,26.93,$0.41,65.27
2012-06-30,26.78,$0.59,45.43
2012-03-31,25.7,$0.93,27.77
2011-12-31,26.2,$1.59,16.43
2011-09-30,23.72,$0.86,27.62
2011-06-30,22.35,$0.84,26.7
2011-03-31,20.84,$0.18,113.98
2010-12-31,20.65,$-0.11,0.0
2010-09-30,19.88,$-0.25,0.0
2010-06-30,17.54,$-0.68,0.0
2010-03-31,17.25,$-1.05,0.0
2009-12-31,17.1,$-1.61,0.0
