Jaguar Animal Health Price to Free Cash Flow Ratio Historical Data,Jaguar Animal Health Price to Free Cash Flow Ratio Historical Data,Jaguar Animal Health Price to Free Cash Flow Ratio Historical Data,Jaguar Animal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.25,,0.0
2024-09-30,1.35,$-14.50,0.0
2024-06-30,3.58,$-28.66,0.0
2024-03-31,5.39,$27.76,0.19
2023-12-31,9.08,$-86.81,0.0
2023-09-30,15.6,$-462.06,0.0
2023-06-30,30.96,$-493.88,0.0
2023-03-31,37.65,"$-1,046.25",0.0
2022-12-31,391.05,"$-1,524.08",0.0
2022-09-30,702.0,"$-2,096.67",0.0
2022-06-30,1323.0,"$-2,957.81",0.0
2022-03-31,3188.25,"$-3,416.73",0.0
2021-12-31,4680.0,"$-3,534.30",0.0
2021-09-30,10215.0,"$-4,156.81",0.0
2021-06-30,21330.0,"$-7,045.70",0.0
2021-03-31,24300.0,"$-6,087.07",0.0
2020-12-31,11002.5,"$-5,374.72",0.0
2020-09-30,3908.25,"$-3,793.33",0.0
2020-06-30,6546.15,$3.47,1885.63
2020-03-31,6481.35,$2.63,2467.39
2019-12-31,10813.5,$-4.12,0.0
2019-09-30,17685.0,$-1.63,0.0
2019-06-30,63449.99,$-23.91,0.0
2019-03-31,264127.47,$-114.44,0.0
2018-12-31,216215.97,$-108.52,0.0
2018-09-30,816952.39,$-112.25,0.0
2018-06-30,1341899.83,$-94.45,0.0
2018-03-31,2764124.5,$-4.49,0.0
2017-12-31,1982231.64,$-3.39,0.0
2017-09-30,2834999.49,$-1.28,0.0
2017-06-30,7506681.75,$-2.01,0.0
2017-03-31,14174997.45,$-0.85,0.0
2016-12-31,10149298.17,$-1.33,0.0
2016-09-30,18143996.73,$-2.09,0.0
2016-06-30,26081995.31,$-1.84,0.0
2016-03-31,22396495.97,$-2.82,0.0
