Semper Paratus Acquisition Price to Free Cash Flow Ratio Historical Data,Semper Paratus Acquisition Price to Free Cash Flow Ratio Historical Data,Semper Paratus Acquisition Price to Free Cash Flow Ratio Historical Data,Semper Paratus Acquisition Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.17,,0.0
2024-09-30,0.37,$-0.10,0.0
2024-06-30,0.72,$-0.10,0.0
2024-03-31,3.75,$-0.10,0.0
2023-12-31,11.13,$-0.10,0.0
2023-09-30,10.83,$-0.05,0.0
2023-06-30,10.68,$-0.04,0.0
2023-03-31,10.79,$-0.03,0.0
2022-12-31,10.33,$-0.02,0.0
