DoubleDown Interactive Price to Free Cash Flow Ratio Historical Data,DoubleDown Interactive Price to Free Cash Flow Ratio Historical Data,DoubleDown Interactive Price to Free Cash Flow Ratio Historical Data,DoubleDown Interactive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.81,,3.72
2024-09-30,16.5,$2.63,6.26
2024-06-30,13.06,$2.58,5.07
2024-03-31,10.88,$0.73,14.83
2023-12-31,7.35,$0.42,17.65
2023-09-30,8.48,$-0.61,0.0
2023-06-30,9.57,$-0.74,0.0
2023-03-31,7.98,$0.84,9.55
2022-12-31,8.45,$1.02,8.29
2022-09-30,9.23,$1.84,5.0
2022-06-30,9.66,$3.08,3.13
