MarketWise Price to Free Cash Flow Ratio Historical Data,MarketWise Price to Free Cash Flow Ratio Historical Data,MarketWise Price to Free Cash Flow Ratio Historical Data,MarketWise Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.52,,0.0
2024-12-31,0.57,$-0.58,0.0
2024-09-30,0.67,$-0.20,0.0
2024-06-30,1.16,$0.23,5.11
2024-03-31,1.73,$1.23,1.4
2023-12-31,2.73,$1.82,1.5
2023-09-30,1.6,$1.64,0.97
2023-06-30,2.0,$1.70,1.17
2023-03-31,1.85,$2.02,0.92
2022-12-31,1.68,$1.95,0.86
2022-09-30,2.28,$1.60,1.43
2022-06-30,3.6,$1.24,2.89
2022-03-31,4.72,$0.04,110.02
2021-12-31,7.54,0,0.0
2021-09-30,8.26,0,0.0
2021-06-30,9.95,0,0.0
