Perion Network Price to Free Cash Flow Ratio Historical Data,Perion Network Price to Free Cash Flow Ratio Historical Data,Perion Network Price to Free Cash Flow Ratio Historical Data,Perion Network Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.15,,8.61
2024-09-30,7.88,$0.95,8.33
2024-06-30,8.35,$1.48,5.64
2024-03-31,22.48,$2.86,7.85
2023-12-31,30.87,$3.09,9.99
2023-09-30,30.63,$2.87,10.67
2023-06-30,30.67,$2.79,10.99
2023-03-31,39.58,$2.38,16.63
2022-12-31,25.3,$2.52,10.05
2022-09-30,19.29,$2.50,7.73
2022-06-30,18.18,$2.15,8.45
2022-03-31,22.49,$1.99,11.31
2021-12-31,24.05,$1.87,12.89
2021-09-30,17.33,$1.54,11.22
2021-06-30,21.42,$1.41,15.23
2021-03-31,17.9,$1.04,17.22
2020-12-31,12.73,$0.75,16.89
2020-09-30,6.98,$0.76,9.21
2020-06-30,5.23,$0.91,5.72
2020-03-31,4.89,$1.22,3.99
2019-12-31,6.22,$1.67,3.72
2019-09-30,4.89,$1.39,3.51
2019-06-30,2.91,$1.38,2.1
2019-03-31,2.65,$1.16,2.28
2018-12-31,2.6,$1.19,2.18
2018-09-30,3.01,$1.34,2.25
2018-06-30,3.51,$1.58,2.22
2018-03-31,2.4,$1.61,1.49
2017-12-31,3.09,$1.33,2.32
2017-09-30,3.48,$1.49,2.34
2017-06-30,5.91,$1.28,4.6
2017-03-31,5.34,$1.30,4.09
2016-12-31,4.26,$1.14,3.74
2016-09-30,3.6,$0.33,10.78
2016-06-30,3.57,$0.12,29.65
2016-03-31,6.03,$0.41,14.84
2015-12-31,10.89,$0.64,16.95
2015-09-30,6.3,$1.19,5.28
2015-06-30,8.52,$2.67,3.19
2015-03-31,10.08,$2.28,4.43
2014-12-31,13.2,$2.50,5.28
2014-09-30,16.68,$3.01,5.55
2014-06-30,30.3,$1.06,28.69
2014-03-31,33.15,$2.53,13.11
2013-12-31,36.27,$3.66,9.91
2013-09-30,39.48,$5.60,7.06
2013-06-30,34.35,$6.51,5.28
2013-03-31,29.58,$4.93,6.0
2012-12-31,26.82,$3.93,6.82
2012-09-30,21.06,$1.50,14.03
2012-06-30,12.81,$1.22,10.47
2012-03-31,15.54,$1.86,8.35
2011-12-31,11.85,$1.77,6.68
2011-09-30,13.62,$4.42,3.08
2011-06-30,21.27,$4.07,5.23
2011-03-31,21.72,$3.49,6.22
2010-12-31,22.0,$2.87,7.65
2010-09-30,16.99,$3.07,5.53
2010-06-30,11.75,$3.07,3.82
2010-03-31,16.01,$3.07,5.21
2009-12-31,24.74,$3.07,8.05
