Monro Muffler Brake Price to Free Cash Flow Ratio Historical Data,Monro Muffler Brake Price to Free Cash Flow Ratio Historical Data,Monro Muffler Brake Price to Free Cash Flow Ratio Historical Data,Monro Muffler Brake Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.05,,6.34
2024-12-31,24.8,$2.69,9.22
2024-09-30,28.57,$3.31,8.64
2024-06-30,23.38,$1.73,13.55
2024-03-31,30.55,$3.22,9.49
2023-12-31,28.18,$4.57,6.17
2023-09-30,26.43,$5.11,5.17
2023-06-30,38.35,$5.60,6.85
2023-03-31,46.35,$5.61,8.26
2022-12-31,42.14,$5.67,7.44
2022-09-30,40.28,$4.70,8.58
2022-06-30,39.52,$4.67,8.46
2022-03-31,40.62,$4.32,9.39
2021-12-31,53.06,$3.65,14.55
2021-09-30,52.14,$3.68,14.18
2021-06-30,57.31,$3.96,14.46
2021-03-31,59.14,$3.95,14.97
2020-12-31,47.75,$3.04,15.71
2020-09-30,36.18,$3.31,10.93
2020-06-30,48.77,$2.31,21.14
2020-03-31,38.75,$1.96,19.82
2019-12-31,68.83,$2.80,24.56
2019-09-30,69.34,$3.27,21.18
2019-06-30,74.65,$3.41,21.87
2019-03-31,75.51,$3.24,23.3
2018-12-31,59.84,$3.41,17.56
2018-09-30,60.43,$2.47,24.49
2018-06-30,50.3,$2.71,18.59
2018-03-31,46.24,$2.58,17.89
2017-12-31,48.96,$2.74,17.85
2017-09-30,48.03,$3.15,15.24
2017-06-30,35.63,$3.55,10.05
2017-03-31,44.31,$2.91,15.23
2016-12-31,48.5,$3.36,14.42
2016-09-30,51.71,$3.41,15.14
2016-06-30,53.57,$2.50,21.44
2016-03-31,60.07,$2.77,21.71
2015-12-31,55.54,$2.55,21.77
2015-09-30,56.53,$2.55,22.19
2015-06-30,51.9,$2.70,19.21
2015-03-31,54.18,$2.79,19.4
2014-12-31,48.04,$2.16,22.23
2014-09-30,40.25,$2.10,19.17
2014-06-30,44.0,$1.98,22.26
2014-03-31,46.94,$2.01,23.32
2013-12-31,46.42,$2.00,23.16
2013-09-30,38.16,$2.03,18.8
2013-06-30,39.4,$2.00,19.74
2013-03-31,32.48,$1.65,19.69
2012-12-31,28.55,$1.45,19.63
2012-09-30,28.6,$1.54,18.57
2012-06-30,26.95,$1.41,19.1
2012-03-31,33.53,$1.74,19.24
2011-12-31,31.29,$1.81,17.26
2011-09-30,26.53,$1.59,16.73
2011-06-30,29.94,$2.00,14.99
2011-03-31,26.41,$1.51,17.45
2010-12-31,27.63,$1.72,16.09
2010-09-30,24.5,$2.00,12.27
2010-06-30,20.96,$2.04,10.3
2010-03-31,18.88,$2.13,8.86
2009-12-31,17.65,$2.69,6.55
