Manitowoc Price to Free Cash Flow Ratio Historical Data,Manitowoc Price to Free Cash Flow Ratio Historical Data,Manitowoc Price to Free Cash Flow Ratio Historical Data,Manitowoc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.69,,41.7
2024-12-31,9.13,$0.23,39.29
2024-09-30,9.62,$-2.00,0.0
2024-06-30,11.53,$-0.44,0.0
2024-03-31,14.14,$-1.62,0.0
2023-12-31,16.69,$-0.24,0.0
2023-09-30,15.05,$0.47,32.36
2023-06-30,18.83,$-0.22,0.0
2023-03-31,17.09,$0.75,22.81
2022-12-31,9.16,$0.47,19.42
2022-09-30,7.75,$-1.16,0.0
2022-06-30,10.53,$-0.22,0.0
2022-03-31,15.08,$-0.01,0.0
2021-12-31,18.59,$1.02,18.26
2021-09-30,21.42,$2.04,10.48
2021-06-30,24.5,$2.30,10.66
2021-03-31,20.62,$1.52,13.54
2020-12-31,13.31,$-1.76,0.0
2020-09-30,8.41,$1.24,6.78
2020-06-30,10.88,$1.64,6.63
2020-03-31,8.5,$3.15,2.7
2019-12-31,17.5,$-2.00,0.0
2019-09-30,12.5,$-8.74,0.0
2019-06-30,17.8,$-14.07,0.0
2019-03-31,16.41,$-17.70,0.0
2018-12-31,14.77,$-14.97,0.0
2018-09-30,23.99,$-13.14,0.0
2018-06-30,25.86,$-11.76,0.0
2018-03-31,28.46,$-11.26,0.0
2017-12-31,39.34,$-9.67,0.0
2017-09-30,36.0,$-20.19,0.0
2017-06-30,24.04,$-17.51,0.0
2017-03-31,22.8,$-16.01,0.0
2016-12-31,23.92,$-19.27,0.0
2016-09-30,19.16,$-3.08,0.0
2016-06-30,21.8,$-2.91,0.0
2016-03-31,17.32,$-0.68,0.0
2015-12-31,14.43,$1.56,9.22
2015-09-30,14.03,$3.57,3.93
2015-06-30,18.33,$4.94,3.71
2015-03-31,20.17,$5.20,3.88
2014-12-31,20.67,$1.02,20.33
2014-09-30,21.85,$1.48,14.81
2014-06-30,30.62,$2.84,10.78
2014-03-31,29.31,$1.82,16.07
2013-12-31,21.73,$6.40,3.4
2013-09-30,18.16,$5.79,3.14
2013-06-30,16.62,$4.20,3.96
2013-03-31,19.08,$3.22,5.93
2012-12-31,14.55,$2.71,5.37
2012-09-30,12.32,$1.74,7.08
2012-06-30,10.8,$0.48,22.74
2012-03-31,12.8,$-0.28,0.0
2011-12-31,8.48,$-0.91,0.0
2011-09-30,6.15,$-1.57,0.0
2011-06-30,15.44,$-0.28,0.0
2011-03-31,20.05,$3.28,6.11
2010-12-31,12.02,$6.02,2.0
2010-09-30,11.02,$6.53,1.69
2010-06-30,8.32,$10.99,0.76
2010-03-31,11.83,$8.41,1.41
2009-12-31,9.07,$8.90,1.02
