Lyell Immunopharma Price to Free Cash Flow Ratio Historical Data,Lyell Immunopharma Price to Free Cash Flow Ratio Historical Data,Lyell Immunopharma Price to Free Cash Flow Ratio Historical Data,Lyell Immunopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.53,,0.0
2024-12-31,0.64,$-0.74,0.0
2024-09-30,1.38,$-0.61,0.0
2024-06-30,1.45,$-0.63,0.0
2024-03-31,2.23,$-0.64,0.0
2023-12-31,1.94,$-0.66,0.0
2023-09-30,1.47,$-0.68,0.0
2023-06-30,3.18,$-0.69,0.0
2023-03-31,2.36,$-0.74,0.0
2022-12-31,3.47,$-0.78,0.0
2022-09-30,7.33,$-1.39,0.0
2022-06-30,6.52,$0.75,8.71
2022-03-31,5.05,$-1.65,0.0
