KORU Medical Systems Price to Free Cash Flow Ratio Historical Data,KORU Medical Systems Price to Free Cash Flow Ratio Historical Data,KORU Medical Systems Price to Free Cash Flow Ratio Historical Data,KORU Medical Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.95,,0.0
2024-12-31,3.85,$-0.04,0.0
2024-09-30,2.73,$-0.04,0.0
2024-06-30,2.65,$-0.02,0.0
2024-03-31,2.36,$-0.03,0.0
2023-12-31,2.46,$-0.12,0.0
2023-09-30,2.7,$-0.12,0.0
2023-06-30,3.45,$-0.15,0.0
2023-03-31,4.22,$-0.23,0.0
2022-12-31,3.57,$-0.18,0.0
2022-09-30,2.23,$-0.22,0.0
2022-06-30,2.53,$-0.18,0.0
2022-03-31,2.86,$-0.10,0.0
2021-12-31,3.0,$-0.10,0.0
2021-09-30,2.85,$-0.13,0.0
2021-06-30,4.63,$-0.16,0.0
2021-03-31,3.52,$-0.10,0.0
