Taylor Devices Price to Free Cash Flow Ratio Historical Data,Taylor Devices Price to Free Cash Flow Ratio Historical Data,Taylor Devices Price to Free Cash Flow Ratio Historical Data,Taylor Devices Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,32.27,,327.61
2024-11-30,48.08,$0.10,488.12
2024-08-31,57.22,$1.49,38.45
2024-05-31,50.92,$3.46,14.72
2024-02-29,35.98,$3.31,10.86
2023-11-30,23.22,$3.60,6.45
2023-08-31,22.48,$2.21,10.16
2023-05-31,18.55,$1.22,15.15
2023-02-28,16.8,$0.35,48.26
2022-11-30,13.4,$0.66,20.21
2022-08-31,10.19,$0.43,23.88
2022-05-31,9.3,$0.55,16.91
2022-02-28,10.0,$1.19,8.44
2021-11-30,10.95,$1.04,10.52
2021-08-31,12.08,$1.35,8.95
2021-05-31,11.85,$1.55,7.65
2021-02-28,11.07,$0.13,87.72
2020-11-30,10.54,$0.39,26.83
2020-08-31,9.35,$2.06,4.53
2020-05-31,10.99,$2.46,4.46
2020-02-29,11.23,$2.82,3.98
2019-11-30,10.68,$2.05,5.22
2019-08-31,10.82,$-0.12,0.0
2019-05-31,11.08,$0.63,17.69
2019-02-28,12.76,$0.85,14.98
2018-11-30,12.25,$0.93,13.22
2018-08-31,11.73,$1.51,7.76
2018-05-31,10.26,$-0.18,0.0
2018-02-28,11.02,$0.14,79.97
2017-11-30,12.55,$-0.69,0.0
2017-08-31,11.75,$-0.93,0.0
2017-05-31,13.26,$-0.83,0.0
2017-02-28,14.48,$-1.54,0.0
2016-11-30,14.8,$0.08,179.18
2016-08-31,18.74,$0.30,62.28
2016-05-31,16.7,$0.53,31.4
2016-02-29,13.5,$1.21,11.11
2015-11-30,15.75,$0.29,53.64
2015-08-31,13.33,$0.25,53.83
2015-05-31,12.87,$0.60,21.57
2015-02-28,11.73,$0.38,30.49
2014-11-30,9.73,$0.54,17.9
2014-08-31,8.56,$1.02,8.35
2014-05-31,8.83,$0.19,47.4
2014-02-28,8.69,$0.15,57.51
2013-11-30,8.19,$0.77,10.61
2013-08-31,8.76,$1.01,8.66
2013-05-31,8.07,$0.65,12.43
2013-02-28,8.82,$-0.11,0.0
2012-11-30,8.15,$-1.07,0.0
2012-08-31,8.72,$-2.02,0.0
2012-05-31,9.55,$-0.81,0.0
2012-02-29,10.66,$-0.32,0.0
2011-11-30,6.99,$-0.13,0.0
2011-08-31,6.6,$0.15,44.47
2011-05-31,5.87,$0.62,9.45
2011-02-28,4.9,$0.49,9.96
2010-11-30,4.6,$0.81,5.67
2010-08-31,4.88,$0.92,5.3
2010-05-31,6.03,$0.39,15.49
2010-02-28,5.43,$-0.04,0.0
2009-11-30,4.49,$0.20,22.72
