ICICI Bank Price to Free Cash Flow Ratio Historical Data,ICICI Bank Price to Free Cash Flow Ratio Historical Data,ICICI Bank Price to Free Cash Flow Ratio Historical Data,ICICI Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.64,,5.88
2024-12-31,29.86,$5.21,5.73
2024-09-30,29.85,$6.68,4.47
2024-06-30,28.56,$5.21,5.48
2024-03-31,26.18,$5.21,5.02
2023-12-31,23.64,$-0.21,0.0
2023-09-30,22.92,$0.51,45.38
2023-06-30,22.7,$-0.21,0.0
2023-03-31,21.22,$-0.21,0.0
2022-12-31,21.53,$2.14,10.08
2022-09-30,20.62,$-0.74,0.0
2022-06-30,17.34,$2.14,8.12
2022-03-31,18.52,$2.14,8.67
2021-12-31,19.35,$5.38,3.6
2021-09-30,18.45,$4.21,4.39
2021-06-30,16.67,$5.38,3.1
2021-03-31,15.63,$5.38,2.9
2020-12-31,14.49,$0.89,16.19
2020-09-30,9.58,$4.17,2.3
2020-06-30,9.06,$2.97,3.05
2019-09-30,11.87,$2.97,3.99
2019-06-30,12.24,$2.08,5.89
2019-03-31,11.14,$2.08,5.36
2018-12-31,10.01,$0.88,11.42
2018-09-30,8.26,$0.88,9.42
2018-06-30,7.77,$0.88,8.87
2018-03-31,8.57,$0.88,9.78
2017-12-31,9.42,$2.39,3.94
2017-09-30,8.29,$2.39,3.47
2017-06-30,8.68,$2.39,3.63
2017-03-31,7.57,$2.39,3.17
2016-12-31,6.59,$1.09,6.06
2016-09-30,6.58,$1.09,6.05
2016-06-30,6.32,$1.09,5.81
2016-03-31,6.17,$1.09,5.67
2015-12-31,6.75,$-0.69,0.0
2015-09-30,7.22,$-0.69,0.0
2015-06-30,8.98,$-0.69,0.0
2015-03-31,8.79,$-0.37,0.0
2014-09-30,8.33,$0.32,26.09
2014-06-30,8.21,$0.32,25.72
2014-03-31,7.32,$0.32,22.93
2013-12-31,6.21,$0.98,6.36
2013-09-30,5.09,$0.98,5.22
2013-06-30,6.39,$0.98,6.55
2013-03-31,7.06,$0.98,7.23
2012-12-31,7.17,$1.34,5.36
2012-09-30,6.6,$1.34,4.93
2012-06-30,5.33,$1.34,3.98
2012-03-31,5.61,$1.34,4.19
2011-12-31,4.25,$-0.31,0.0
2011-09-30,5.59,$-0.31,0.0
2011-06-30,7.93,$-0.31,0.0
2011-03-31,7.91,$-0.31,0.0
2010-12-31,8.04,$2.01,4.0
2010-09-30,7.91,$2.01,3.94
2010-06-30,5.74,$2.01,2.85
2010-03-31,6.58,$2.01,3.27
2009-12-31,5.81,$-1.67,0.0
