J.Jill Price to Free Cash Flow Ratio Historical Data,J.Jill Price to Free Cash Flow Ratio Historical Data,J.Jill Price to Free Cash Flow Ratio Historical Data,J.Jill Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.03,,5.87
2024-10-31,23.91,$3.07,7.79
2024-07-31,38.34,$3.44,11.14
2024-04-30,24.85,$4.21,5.91
2024-01-31,23.25,$3.22,7.22
2023-10-31,28.57,$3.03,9.43
2023-07-31,22.64,$3.80,5.95
2023-04-30,24.66,$4.05,6.09
2023-01-31,27.39,$4.16,6.59
2022-10-31,20.59,$6.30,3.27
2022-07-31,15.98,$5.80,2.76
2022-04-30,16.12,$6.52,2.47
2022-01-31,15.22,$5.59,2.72
2021-10-31,16.53,$1.93,8.58
2021-07-31,23.14,$0.15,152.92
2021-04-30,8.88,$-4.82,0.0
2021-01-31,4.02,$-4.22,0.0
2020-10-31,3.31,$-1.38,0.0
2020-07-31,2.85,$-2.37,0.0
2020-04-30,2.27,$1.75,1.29
2020-01-31,5.93,$1.65,3.6
2019-10-31,8.63,$1.27,6.82
2019-07-31,10.67,$2.43,4.39
2019-04-30,27.97,$4.47,6.26
2019-01-31,24.66,$4.84,5.1
2018-10-31,20.93,$4.71,4.44
2018-07-31,33.94,$4.60,7.38
2018-04-30,21.18,$4.45,4.75
2018-01-31,35.02,$4.36,8.03
