Textron Price to Free Cash Flow Ratio Historical Data,Textron Price to Free Cash Flow Ratio Historical Data,Textron Price to Free Cash Flow Ratio Historical Data,Textron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.49,,21.38
2024-12-31,76.49,$3.44,22.26
2024-09-30,88.56,$3.79,23.36
2024-06-30,85.82,$3.98,21.55
2024-03-31,95.86,$3.52,27.2
2023-12-31,80.35,$4.37,18.38
2023-09-30,78.05,$4.16,18.78
2023-06-30,67.53,$4.54,14.87
2023-03-31,70.51,$4.90,14.38
2022-12-31,70.66,$5.38,13.14
2022-09-30,58.13,$4.83,12.04
2022-06-30,60.91,$4.98,12.23
2022-03-31,74.16,$5.81,12.76
2021-12-31,76.69,$5.41,14.17
2021-09-30,69.33,$6.20,11.19
2021-06-30,68.28,$6.00,11.38
2021-03-31,55.66,$4.62,12.05
2020-12-31,47.95,$2.11,22.69
2020-09-30,35.79,$3.12,11.48
2020-06-30,32.62,$2.71,12.02
2020-03-31,26.42,$2.16,12.24
2019-12-31,44.15,$2.94,15.02
2019-09-30,48.44,$1.14,42.37
2019-06-30,52.46,$1.21,43.53
2019-03-31,50.08,$2.42,20.69
2018-12-31,45.45,$2.97,15.3
2018-09-30,70.6,$3.52,20.05
2018-06-30,65.09,$2.53,25.77
2018-03-31,58.22,$2.36,24.62
2017-12-31,55.85,$1.91,29.26
2017-09-30,53.16,$2.60,20.43
2017-06-30,46.45,$2.94,15.78
2017-03-31,46.91,$1.56,30.07
2016-12-31,47.85,$1.76,27.21
2016-09-30,39.15,$1.34,29.2
2016-06-30,35.99,$1.42,25.29
2016-03-31,35.87,$1.89,18.99
2015-12-31,41.31,$2.40,17.19
2015-09-30,37.0,$2.12,17.44
2015-06-30,43.84,$2.24,19.62
2015-03-31,43.53,$2.74,15.91
2014-12-31,41.33,$2.76,14.95
2014-09-30,35.31,$3.93,8.99
2014-06-30,37.54,$4.87,7.71
2014-03-31,38.5,$3.23,11.92
2013-12-31,36.01,$1.91,18.83
2013-09-30,27.03,$-0.29,0.0
2013-06-30,25.48,$-0.35,0.0
2013-03-31,29.14,$0.98,29.74
2012-12-31,24.22,$1.52,15.96
2012-09-30,25.54,$1.43,17.82
2012-06-30,24.26,$1.25,19.37
2012-03-31,27.12,$0.96,28.23
2011-12-31,18.0,$2.08,8.64
2011-09-30,17.16,$1.73,9.94
2011-06-30,22.94,$2.41,9.53
2011-03-31,26.58,$3.14,8.46
2010-12-31,22.93,$2.79,8.23
2010-09-30,19.92,$4.49,4.44
2010-06-30,16.43,$4.58,3.59
2010-03-31,20.53,$4.20,4.88
2009-12-31,18.17,$3.85,4.72
