Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data,Evergy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.97,,0.0
2024-12-31,61.55,$-1.53,0.0
2024-09-30,61.38,$-2.09,0.0
2024-06-30,51.85,$-2.72,0.0
2024-03-31,51.65,$-2.13,0.0
2023-12-31,49.89,$-1.53,0.0
2023-09-30,47.84,$-1.45,0.0
2023-06-30,54.53,$-0.98,0.0
2023-03-31,56.47,$-1.17,0.0
2022-12-31,57.54,$-1.58,0.0
2022-09-30,53.75,$-1.74,0.0
2022-06-30,58.57,$-2.09,0.0
2022-03-31,60.82,$-1.65,0.0
2021-12-31,60.52,$-2.70,0.0
2021-09-30,54.39,$-2.31,0.0
2021-06-30,52.43,$-1.55,0.0
2021-03-31,51.21,$-1.18,0.0
2020-12-31,47.29,$0.85,55.6
2020-09-30,42.87,$1.30,33.0
2020-06-30,49.53,$1.50,33.07
2020-03-31,45.59,$1.89,24.15
2019-12-31,53.51,$2.25,23.82
2019-09-30,54.29,$2.71,20.04
2019-06-30,48.71,$2.46,19.79
2019-03-31,46.62,$1.62,28.87
2018-12-31,45.21,$2.00,22.61
2018-09-30,43.38,$1.62,26.71
2018-06-30,44.0,$0.97,45.44
2018-03-31,41.21,$1.20,34.25
2017-12-31,41.37,$1.04,39.84
2017-09-30,38.87,$0.17,229.03
2017-06-30,41.55,$-0.90,0.0
2017-03-31,42.53,$-1.68,0.0
2016-12-31,44.16,$-1.99,0.0
2016-09-30,44.47,$-1.49,0.0
2016-06-30,43.95,$-0.37,0.0
2016-03-31,38.87,$0.05,854.39
2015-12-31,33.23,$0.11,293.57
2015-09-30,30.12,$0.48,63.08
2015-06-30,26.81,$0.14,188.97
2015-03-31,30.37,$-0.16,0.0
2014-12-31,32.32,$-0.21,0.0
2014-09-30,26.74,$-0.55,0.0
2014-06-30,29.93,$-0.38,0.0
2014-03-31,27.55,$-0.54,0.0
2013-12-31,25.21,$-0.60,0.0
2013-09-30,23.76,$-0.57,0.0
2013-06-30,24.5,$-0.50,0.0
2013-03-31,25.16,$-0.58,0.0
2012-12-31,21.24,$-1.66,0.0
2012-09-30,21.76,$-1.64,0.0
2012-06-30,21.73,$-2.08,0.0
2012-03-31,20.04,$-2.45,0.0
2011-12-31,20.16,$-1.98,0.0
2011-09-30,18.3,$-2.04,0.0
2011-06-30,18.4,$-1.79,0.0
2011-03-31,17.85,$-0.37,0.0
2010-12-31,16.79,$0.61,27.72
2010-09-30,15.97,$0.95,16.81
2010-06-30,14.06,$0.43,32.61
2010-03-31,14.11,$0.19,76.16
2009-12-31,13.55,$-0.70,0.0
