Avista Price to Free Cash Flow Ratio Historical Data,Avista Price to Free Cash Flow Ratio Historical Data,Avista Price to Free Cash Flow Ratio Historical Data,Avista Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.0,,3149.61
2024-12-31,36.63,$0.01,2884.25
2024-09-30,38.28,$-0.63,0.0
2024-06-30,33.77,$-0.40,0.0
2024-03-31,33.74,$0.32,106.62
2023-12-31,33.96,$-0.68,0.0
2023-09-30,30.36,$-2.39,0.0
2023-06-30,36.33,$-3.86,0.0
2023-03-31,38.85,$-5.49,0.0
2022-12-31,40.11,$-4.49,0.0
2022-09-30,33.13,$-2.77,0.0
2022-06-30,38.53,$-2.19,0.0
2022-03-31,39.58,$-2.24,0.0
2021-12-31,36.87,$-2.46,0.0
2021-09-30,33.59,$-2.29,0.0
2021-06-30,36.27,$-1.57,0.0
2021-03-31,40.21,$-0.98,0.0
2020-12-31,33.43,$-1.08,0.0
2020-09-30,28.11,$-1.34,0.0
2020-06-30,29.65,$-1.56,0.0
2020-03-31,34.26,$-1.64,0.0
2019-12-31,38.47,$-0.67,0.0
2019-09-30,38.44,$-1.46,0.0
2019-06-30,35.1,$-1.30,0.0
2019-03-31,31.67,$-0.94,0.0
2018-12-31,32.82,$-0.95,0.0
2018-09-30,39.06,$0.72,54.3
2018-06-30,40.39,$0.58,69.62
2018-03-31,39.03,$0.55,70.5
2017-12-31,38.92,$-0.03,0.0
2017-09-30,38.86,$0.07,524.43
2017-06-30,31.65,$0.45,70.1
2017-03-31,28.86,$-0.07,0.0
2016-12-31,29.29,$-0.76,0.0
2016-09-30,30.35,$-1.41,0.0
2016-06-30,32.26,$-1.57,0.0
2016-03-31,29.12,$-1.02,0.0
2015-12-31,25.02,$-0.28,0.0
2015-09-30,23.3,$-0.91,0.0
2015-06-30,21.24,$-1.53,0.0
2015-03-31,23.45,$-1.56,0.0
2014-12-31,24.02,$-1.05,0.0
2014-09-30,20.55,$-0.21,0.0
2014-06-30,22.35,$0.18,121.25
2014-03-31,20.23,$-0.03,0.0
2013-12-31,18.41,$-1.01,0.0
2013-09-30,17.05,$-0.92,0.0
2013-06-30,17.25,$-0.47,0.0
2013-03-31,17.31,$0.19,89.56
2012-12-31,15.06,$0.69,21.97
2012-09-30,15.87,$0.55,28.89
2012-06-30,16.28,$0.67,24.21
2012-03-31,15.42,$0.58,26.5
2011-12-31,15.35,$0.45,34.17
2011-09-30,14.06,$0.48,29.38
2011-06-30,14.97,$0.90,16.61
2011-03-31,13.33,$0.66,20.15
2010-12-31,12.82,$0.43,30.1
2010-09-30,11.75,$0.40,29.6
2010-06-30,10.86,$-0.06,0.0
2010-03-31,11.37,$0.71,16.04
2009-12-31,11.71,$0.92,12.79
