Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data,Home Depot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,355.52,,21.33
2024-10-31,391.69,$16.67,23.5
2024-07-31,364.0,$16.85,21.6
2024-04-30,330.44,$17.95,18.41
2024-01-31,346.9,$17.91,19.37
2023-10-31,277.94,$17.67,15.73
2023-07-31,323.87,$16.10,20.12
2023-04-30,289.43,$12.88,22.47
2023-01-31,309.97,$11.22,27.64
2022-10-31,281.51,$9.80,28.71
2022-07-31,284.21,$10.45,27.2
2022-04-30,281.89,$10.84,26.01
2022-01-31,342.32,$13.24,25.86
2021-10-31,345.34,$11.49,30.05
2021-07-31,303.34,$10.77,28.18
2021-04-30,297.59,$15.79,18.85
2021-01-31,247.47,$15.19,16.29
2020-10-31,242.37,$16.64,14.57
2020-07-31,240.01,$16.20,14.82
2020-04-30,197.55,$11.17,17.69
2020-01-31,203.55,$10.04,20.28
2019-10-31,208.01,$10.22,20.35
2019-07-31,188.34,$10.09,18.67
2019-04-30,178.3,$10.07,17.71
2019-01-31,159.45,$9.38,17.0
2018-10-31,151.92,$8.74,17.39
2018-07-31,169.75,$8.62,19.68
2018-04-30,157.95,$8.14,19.4
2018-01-31,170.72,$8.60,19.85
2017-10-31,140.17,$8.29,16.92
2017-07-31,125.75,$7.56,16.63
2017-04-30,130.46,$7.42,17.59
2017-01-31,114.28,$6.65,17.2
2016-10-31,100.81,$6.75,14.93
2016-07-31,113.64,$7.11,15.99
2016-04-30,109.49,$6.45,16.98
2016-01-31,102.28,$6.17,16.58
2015-10-31,100.12,$6.09,16.44
2015-07-31,94.28,$5.70,16.54
2015-04-30,85.73,$5.79,14.8
2015-01-31,83.24,$5.09,16.36
2014-10-31,77.37,$4.80,16.13
2014-07-31,63.81,$5.00,12.77
2014-04-30,62.39,$4.43,14.09
2014-01-31,59.96,$4.41,13.59
2013-10-31,60.47,$4.33,13.97
2013-07-31,61.03,$4.18,14.59
2013-04-30,56.36,$3.95,14.28
2013-01-31,51.14,$3.78,13.53
2012-10-31,46.69,$3.34,13.98
2012-07-31,39.49,$3.39,11.64
2012-04-30,38.97,$3.79,10.29
2012-01-31,33.19,$3.49,9.5
2011-10-31,26.57,$3.28,8.1
2011-07-31,25.74,$2.92,8.83
2011-04-30,27.18,$2.22,12.25
2011-01-31,26.72,$2.16,12.4
2010-10-31,22.28,$2.09,10.65
2010-07-31,20.38,$2.54,8.03
2010-04-30,25.01,$2.73,9.17
2010-01-31,19.74,$2.56,7.7
2009-10-31,17.54,$4.79,3.67
