BRT Apartments Price to Free Cash Flow Ratio Historical Data,BRT Apartments Price to Free Cash Flow Ratio Historical Data,BRT Apartments Price to Free Cash Flow Ratio Historical Data,BRT Apartments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.19,,17.05
2024-12-31,18.03,$1.07,16.9
2024-09-30,17.58,$0.74,23.6
2024-06-30,17.23,$0.75,22.97
2024-03-31,16.33,$0.65,25.18
2023-12-31,17.79,$0.59,29.92
2023-09-30,16.07,$0.78,20.65
2023-06-30,18.43,$0.54,34.14
2023-03-31,18.12,$0.42,43.02
2022-12-31,17.81,$0.76,23.48
2022-09-30,18.18,$0.45,40.3
2022-06-30,19.0,$0.48,39.4
2022-03-31,20.95,$1.57,13.36
2021-12-31,20.77,$1.33,15.57
2021-09-30,16.49,$1.35,12.19
2021-06-30,14.65,$1.10,13.38
2021-03-31,14.06,$-0.17,0.0
2020-12-31,12.53,$-0.15,0.0
2020-09-30,9.57,$0.22,43.72
2020-06-30,8.62,$2.34,3.68
2020-03-31,8.0,$2.53,3.16
2019-12-31,12.93,$2.51,5.15
2019-09-30,10.97,$4.42,2.48
2019-06-30,10.47,$1.13,9.27
2019-03-31,10.13,$-1.83,0.0
2018-12-31,8.23,$2.99,2.75
2018-09-30,8.51,$0.14,60.41
2018-06-30,8.86,$6.27,1.41
2018-03-31,8.04,$-1.07,0.0
2017-12-31,7.93,$-0.59,0.0
2017-09-30,7.1,$8.08,0.88
2017-06-30,5.12,$6.93,0.74
2017-03-31,5.41,$14.88,0.36
2016-12-31,5.33,$8.08,0.66
2016-09-30,5.21,$-1.65,0.0
2016-06-30,4.65,$-2.93,0.0
2016-03-31,4.52,$-1.65,0.0
2015-12-31,4.13,$-1.65,0.0
2015-09-30,4.61,$-0.67,0.0
2015-06-30,4.58,$12.09,0.38
2015-03-31,4.65,$6.42,0.72
2014-12-31,4.54,$-0.67,0.0
2014-09-30,4.88,$-6.20,0.0
2014-06-30,4.8,$-10.08,0.0
2014-03-31,4.64,$-9.15,0.0
2013-12-31,4.6,$-6.20,0.0
2013-09-30,4.67,$-4.69,0.0
2013-06-30,4.56,$-8.99,0.0
2013-03-31,4.57,$-4.71,0.0
2012-12-31,4.23,$-4.69,0.0
2012-09-30,4.23,$0.01,0.0
2012-06-30,4.23,$-7.13,0.0
2012-03-31,4.55,$-5.89,0.0
2011-12-31,4.13,$0.01,0.0
2011-09-30,4.05,$-0.10,0.0
2011-06-30,4.11,$0.50,8.28
2011-03-31,4.21,$0.38,11.14
2010-12-31,4.66,$-0.10,0.0
2010-09-30,4.16,$0.43,9.75
2010-06-30,3.84,$-0.76,0.0
2010-03-31,4.3,$1.60,2.69
2009-12-31,3.32,$0.43,7.78
