CTO Realty Growth Price to Free Cash Flow Ratio Historical Data,CTO Realty Growth Price to Free Cash Flow Ratio Historical Data,CTO Realty Growth Price to Free Cash Flow Ratio Historical Data,CTO Realty Growth Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.94,,0.0
2024-12-31,19.71,$-5.33,0.0
2024-09-30,19.02,$-2.28,0.0
2024-06-30,17.46,$2.52,6.94
2024-03-31,16.95,$-0.45,0.0
2023-12-31,17.33,$1.23,14.04
2023-09-30,16.21,$-11.69,0.0
2023-06-30,17.14,$-14.47,0.0
2023-03-31,17.26,$-11.34,0.0
2022-12-31,18.28,$-11.73,0.0
2022-09-30,18.74,$-7.67,0.0
2022-06-30,20.0,$4.78,4.19
2022-03-31,21.33,$-4.35,0.0
2021-12-31,19.42,$-5.62,0.0
2021-09-30,16.69,$3.10,5.39
2021-06-30,16.32,$-8.53,0.0
2021-03-31,15.56,$3.28,4.75
2020-12-31,12.38,$-4.62,0.0
2020-09-30,8.06,$-4.04,0.0
2020-06-30,7.15,$-4.97,0.0
2020-03-31,8.16,$-6.36,0.0
2019-12-31,10.82,$4.89,2.21
2019-09-30,11.74,$-2.80,0.0
2019-06-30,10.67,$-0.57,0.0
2019-03-31,10.53,$-1.08,0.0
2018-12-31,9.35,$-3.33,0.0
2018-09-30,11.08,$-1.22,0.0
2018-06-30,10.93,$-1.56,0.0
2018-03-31,11.15,$-3.07,0.0
2017-12-31,11.26,$-2.22,0.0
2017-09-30,10.64,$-1.57,0.0
2017-06-30,10.08,$-2.86,0.0
2017-03-31,9.47,$-1.40,0.0
2016-12-31,9.44,$-1.98,0.0
2016-09-30,9.04,$-1.25,0.0
2016-06-30,8.38,$-1.13,0.0
2016-03-31,8.13,$-2.23,0.0
2015-12-31,9.29,$-2.02,0.0
2015-09-30,8.77,$-2.19,0.0
2015-06-30,10.15,$-0.83,0.0
2015-03-31,10.5,$-1.56,0.0
2014-12-31,9.82,$-1.59,0.0
2014-09-30,8.63,$0.25,34.07
2014-06-30,8.07,$-0.24,0.0
2014-03-31,7.08,$0.78,9.05
2013-12-31,6.38,$-0.16,0.0
2013-09-30,6.76,$-1.98,0.0
2013-06-30,6.7,$-1.73,0.0
2013-03-31,6.89,$-1.80,0.0
2012-12-31,5.44,$-0.77,0.0
2012-09-30,5.77,$0.11,52.48
2012-06-30,5.05,$0.16,31.96
2012-03-31,5.21,$-0.05,0.0
2011-12-31,4.74,$-0.13,0.0
2011-09-30,4.6,$-0.21,0.0
2011-06-30,5.01,$-0.21,0.0
2011-03-31,5.67,$-0.13,0.0
2010-12-31,5.06,$-0.10,0.0
2010-09-30,4.99,$-0.10,0.0
2010-06-30,4.98,$-0.07,0.0
2010-03-31,5.51,$-0.10,0.0
2009-12-31,6.11,$-0.22,0.0
