Cable One Price to Free Cash Flow Ratio Historical Data,Cable One Price to Free Cash Flow Ratio Historical Data,Cable One Price to Free Cash Flow Ratio Historical Data,Cable One Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,254.68,,4.1
2024-12-31,362.12,$62.07,5.83
2024-09-30,347.3,$52.43,6.62
2024-06-30,348.62,$54.36,6.41
2024-03-31,413.24,$54.81,7.54
2023-12-31,540.29,$48.94,11.04
2023-09-30,594.33,$52.05,11.42
2023-06-30,631.41,$52.72,11.98
2023-03-31,671.5,$48.45,13.86
2022-12-31,678.36,$52.41,12.94
2022-09-30,809.67,$52.90,15.31
2022-06-30,1220.75,$43.75,27.9
2022-03-31,1383.41,$48.33,28.62
2021-12-31,1663.05,$50.18,33.14
2021-09-30,1707.33,$57.25,29.82
2021-06-30,1798.82,$54.29,33.13
2021-03-31,1717.04,$53.68,31.98
2020-12-31,2089.54,$45.91,45.52
2020-09-30,1766.23,$42.43,41.63
2020-06-30,1660.48,$45.78,36.27
2020-03-31,1536.13,$40.13,38.27
2019-12-31,1389.03,$41.99,33.08
2019-09-30,1169.15,$35.85,32.61
2019-06-30,1089.2,$33.56,32.46
2019-03-31,911.21,$35.10,25.96
2018-12-31,759.84,$33.79,22.49
2018-09-30,816.82,$36.52,22.36
2018-06-30,676.15,$35.26,19.18
2018-03-31,631.9,$27.66,22.85
2017-12-31,645.19,$28.06,22.99
2017-09-30,660.69,$22.68,29.13
2017-06-30,648.88,$21.74,29.85
2017-03-31,568.72,$22.93,24.81
2016-12-31,564.9,$19.31,29.26
2016-09-30,529.24,$14.72,35.95
2016-06-30,462.16,$24.24,19.06
