Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data,Republic Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,234.86,,34.74
2024-12-31,201.18,$6.76,29.76
2024-09-30,200.26,$6.10,32.84
2024-06-30,193.24,$6.16,31.35
2024-03-31,189.82,$6.32,30.03
2023-12-31,163.52,$6.37,25.69
2023-09-30,140.85,$6.16,22.87
2023-06-30,150.82,$6.00,25.16
2023-03-31,132.72,$5.35,24.81
2022-12-31,126.14,$5.58,22.61
2022-09-30,132.53,$5.43,24.38
2022-06-30,127.03,$4.86,26.14
2022-03-31,128.16,$4.85,26.42
2021-12-31,134.41,$4.66,28.82
2021-09-30,115.34,$4.72,24.46
2021-06-30,105.29,$4.68,22.49
2021-03-31,94.72,$4.41,21.47
2020-12-31,91.42,$4.09,22.37
2020-09-30,88.23,$4.12,21.39
2020-06-30,77.2,$4.07,18.98
2020-03-31,70.27,$3.54,19.86
2019-12-31,83.46,$3.62,23.04
2019-09-30,80.23,$3.57,22.47
2019-06-30,79.94,$3.39,23.55
2019-03-31,73.85,$3.49,21.14
2018-12-31,65.92,$3.66,18.0
2018-09-30,66.44,$3.77,17.63
2018-06-30,62.19,$3.59,17.33
2018-03-31,59.95,$3.05,19.63
2017-12-31,60.88,$2.73,22.26
2017-09-30,59.19,$2.70,21.95
2017-06-30,56.8,$2.85,19.91
2017-03-31,55.7,$2.88,19.35
2016-12-31,50.34,$2.70,18.64
2016-09-30,44.26,$2.24,19.8
2016-06-30,44.73,$1.96,22.79
2016-03-31,41.3,$1.97,20.94
2015-12-31,37.89,$2.15,17.63
2015-09-30,35.01,$2.49,14.03
2015-06-30,33.04,$2.41,13.7
2015-03-31,33.97,$2.10,16.19
2014-12-31,33.48,$1.96,17.05
2014-09-30,32.23,$1.84,17.49
2014-06-30,31.14,$1.78,17.54
2014-03-31,27.82,$1.84,15.09
2013-12-31,26.83,$1.90,14.11
2013-09-30,26.76,$1.98,13.48
2013-06-30,27.01,$1.89,14.29
2013-03-31,26.08,$2.13,12.22
2012-12-31,23.02,$1.74,13.26
2012-09-30,21.42,$1.67,12.81
2012-06-30,20.42,$2.11,9.68
2012-03-31,23.38,$2.09,11.18
2011-12-31,20.93,$2.29,9.14
2011-09-30,21.15,$2.33,9.06
2011-06-30,23.07,$2.05,11.27
2011-03-31,22.32,$1.88,11.89
2010-12-31,22.04,$1.76,12.55
2010-09-30,22.36,$1.35,16.58
2010-06-30,21.66,$1.24,17.49
2010-03-31,21.0,$0.98,21.44
2009-12-31,20.36,$1.58,12.88
