SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,220.97,,21.58
2024-12-31,203.8,$10.24,19.9
2024-09-30,239.63,$11.29,21.22
2024-06-30,194.55,$11.40,17.07
2024-03-31,213.69,$11.79,18.13
2023-12-31,249.05,$12.01,20.74
2023-09-30,195.8,$10.64,18.39
2023-06-30,225.83,$10.84,20.83
2023-03-31,253.42,$9.87,25.68
2022-12-31,271.15,$9.79,27.69
2022-09-30,274.69,$10.08,27.24
2022-06-30,308.19,$9.51,32.41
2022-03-31,330.6,$9.44,35.02
2021-12-31,372.95,$9.50,39.26
2021-09-30,316.39,$9.04,34.98
2021-06-30,304.52,$9.40,32.38
2021-03-31,264.67,$9.04,29.26
2020-12-31,268.41,$8.79,30.53
2020-09-30,302.52,$8.89,34.05
2020-06-30,282.56,$8.32,33.98
2020-03-31,255.66,$7.61,33.57
2019-12-31,227.81,$7.11,32.03
2019-09-30,227.61,$6.70,33.99
2019-06-30,211.92,$6.34,33.43
2019-03-31,188.19,$6.40,29.42
2018-12-31,152.59,$6.01,25.37
2018-09-30,151.4,$6.01,25.19
2018-06-30,155.63,$5.91,26.33
2018-03-31,161.1,$5.67,28.4
2017-12-31,153.97,$5.55,27.75
2017-09-30,135.77,$5.43,25.01
2017-06-30,127.15,$5.29,24.03
2017-03-31,113.45,$5.08,22.35
2016-12-31,97.33,$4.81,20.21
2016-09-30,105.72,$4.49,23.54
2016-06-30,101.74,$4.30,23.64
2016-03-31,94.42,$4.03,23.42
2015-12-31,99.03,$4.02,24.61
2015-09-30,98.6,$3.78,26.1
2015-06-30,108.36,$3.53,30.67
2015-03-31,110.37,$3.52,31.35
2014-12-31,104.4,$3.59,29.06
2014-09-30,104.53,$3.56,29.32
2014-06-30,96.42,$3.37,28.58
2014-03-31,85.73,$3.04,28.18
2013-12-31,84.68,$2.57,32.92
2013-09-30,75.84,$1.53,49.62
2013-06-30,69.86,$2.30,30.36
2013-03-31,67.86,$1.98,34.31
2012-12-31,66.9,$1.89,35.35
2012-09-30,59.29,$2.40,24.75
2012-06-30,53.77,$1.32,40.59
2012-03-31,47.89,$1.18,40.76
2011-12-31,40.49,$1.09,37.0
2011-09-30,32.5,$1.15,28.24
2011-06-30,36.0,$1.15,31.28
2011-03-31,37.4,$1.24,30.24
2010-12-31,38.59,$1.16,33.16
2010-09-30,37.98,$1.17,32.59
2010-06-30,32.06,$1.38,23.17
2010-03-31,34.0,$1.37,24.85
2009-12-31,32.2,$1.51,21.38
