Escalade Price to Free Cash Flow Ratio Historical Data,Escalade Price to Free Cash Flow Ratio Historical Data,Escalade Price to Free Cash Flow Ratio Historical Data,Escalade Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.84,,5.21
2024-12-31,14.28,$2.85,5.02
2024-09-30,13.92,$3.45,4.03
2024-06-30,13.48,$3.35,4.02
2024-03-31,13.29,$3.04,4.38
2023-12-31,19.27,$3.34,5.78
2023-09-30,14.68,$2.91,5.05
2023-06-30,12.68,$1.46,8.67
2023-03-31,13.71,$1.02,13.46
2022-12-31,9.45,$0.48,19.88
2022-09-30,9.09,$-0.35,0.0
2022-06-30,11.71,$-0.41,0.0
2022-03-31,11.77,$-0.05,0.0
2021-12-31,13.92,$-0.62,0.0
2021-09-30,16.52,$-1.56,0.0
2021-06-30,19.93,$-1.64,0.0
2021-03-31,18.05,$-1.28,0.0
2020-12-31,18.17,$-0.20,0.0
2020-09-30,15.59,$1.14,13.7
2020-06-30,11.8,$2.15,5.5
2020-03-31,4.97,$1.23,4.03
2019-12-31,8.07,$0.96,8.41
2019-09-30,8.84,$0.41,21.71
2019-06-30,9.2,$-0.23,0.0
2019-03-31,8.86,$-0.01,0.0
2018-12-31,8.98,$0.25,35.26
2018-09-30,9.97,$0.53,18.84
2018-06-30,10.84,$0.62,17.57
2018-03-31,10.44,$0.58,17.89
2017-12-31,9.29,$0.74,12.58
2017-09-30,10.18,$1.11,9.13
2017-06-30,9.71,$1.17,8.28
2017-03-31,9.47,$1.15,8.26
2016-12-31,9.61,$0.84,11.38
2016-09-30,9.21,$0.75,12.22
2016-06-30,7.33,$0.31,23.93
2016-03-31,8.34,$0.65,12.76
2015-12-31,9.3,$0.73,12.74
2015-09-30,10.99,$0.79,13.86
2015-06-30,12.71,$1.03,12.39
2015-03-31,11.94,$0.69,17.34
2014-12-31,10.3,$1.18,8.7
2014-09-30,8.18,$0.82,10.0
2014-06-30,10.86,$0.97,11.18
2014-03-31,8.97,$0.85,10.49
2013-12-31,7.82,$0.50,15.58
2013-09-30,5.67,$0.11,52.16
2013-06-30,4.04,$0.33,12.11
2013-03-31,3.97,$0.64,6.17
2012-12-31,3.31,$0.30,10.92
2012-09-30,3.34,$0.58,5.79
2012-06-30,3.48,$0.58,5.98
2012-03-31,3.56,$0.45,7.88
2011-12-31,2.66,$0.25,10.78
2011-09-30,2.93,$0.31,9.53
2011-06-30,3.42,$0.26,13.28
2011-03-31,3.14,$0.04,83.27
2010-12-31,3.61,$0.54,6.74
2010-09-30,2.67,$0.82,3.26
2010-06-30,2.72,$1.00,2.71
2010-03-31,1.46,$1.48,0.99
2009-12-31,1.38,$1.30,1.06
